id_cliente,id_atendimento,nota_nps,data_pesquisa
140,17060,4,2025-11-08 17:33:05
1390,17929,8,2025-11-26 18:57:16
4979,7086,7,2023-08-24 17:18:44
798,14754,5,2024-04-23 03:57:44
2502,4520,10,2023-03-17 21:02:10
4656,3025,5,2024-12-01 05:19:09
972,12122,10,2024-01-19 15:59:51
18,18495,4,2025-04-25 19:44:01
322,5484,10,2023-01-10 07:07:21
2795,1420,8,2023-10-25 16:29:34
1973,6210,10,2024-01-01 19:06:36
3348,10743,8,2023-07-02 11:23:13
4300,16144,10,2023-12-01 17:04:46
362,17618,10,2025-03-16 06:02:28
4236,14569,5,2024-09-22 04:37:31
4600,981,9,2023-06-30 12:38:46
1506,2784,9,2024-03-29 19:54:05
4177,7714,9,2024-12-27 02:07:21
1256,11519,7,2025-09-29 12:02:13
3357,8601,9,2025-05-30 11:48:40
4520,11641,10,2025-03-14 03:50:45
4854,18831,9,2024-05-16 03:31:31
4281,12563,10,2025-09-07 01:18:42
3629,12752,5,2025-05-01 18:23:19
2549,6385,9,2024-06-23 18:46:27
3696,4808,10,2025-08-16 22:49:16
388,6196,10,2025-07-04 09:04:39
3822,10649,10,2024-04-24 14:37:44
2071,7568,10,2024-04-09 15:42:43
3147,16398,4,2024-05-11 12:02:47
647,17525,10,2024-07-01 04:07:45
2298,1347,7,2025-02-23 09:38:04
3484,13125,6,2025-06-20 10:18:23
888,12674,10,2024-03-12 15:42:23
285,15456,10,2025-12-28 19:24:49
2494,14002,9,2024-12-21 14:11:20
2642,18622,9,2023-09-19 16:15:51
2669,2120,10,2025-12-05 15:43:50
614,15305,9,2025-02-16 02:04:37
690,4310,10,2024-11-09 08:53:45
1899,4485,0,2024-01-25 05:03:02
88,11014,10,2024-11-30 16:30:05
1191,4771,4,2025-10-19 20:24:48
1570,2713,9,2025-02-11 23:08:15
484,12187,9,2025-05-23 20:22:23
388,16616,10,2025-01-16 17:17:01
2382,10948,10,2024-02-19 09:51:45
805,2546,6,2024-01-30 14:37:31
779,12620,10,2025-04-27 12:11:09
4647,9852,7,2025-08-15 14:48:29
3973,4411,7,2023-06-01 13:22:30
123,19648,9,2024-09-22 14:59:09
3907,12345,10,2023-07-07 13:05:37
2645,12408,8,2025-07-10 00:04:31
2798,9611,9,2023-06-10 18:54:45
1613,10719,9,2023-10-26 20:42:59
2480,7572,6,2025-06-11 17:56:59
1932,3571,10,2024-04-19 13:50:36
3133,8603,4,2025-09-10 03:42:02
3341,3560,7,2024-12-30 06:16:09
505,4992,10,2023-06-08 04:20:41
4076,7440,7,2024-09-20 16:11:32
1329,9326,10,2023-07-04 04:22:37
896,2301,10,2025-07-20 14:45:53
1228,7667,10,2025-02-13 11:09:05
2678,5805,4,2024-08-18 13:07:37
2814,12023,9,2023-04-14 13:48:33
4317,15538,8,2023-05-01 20:24:58
2957,9758,9,2024-10-13 06:16:06
290,12015,9,2023-09-02 11:10:29
960,5212,9,2025-08-29 09:53:01
4155,11549,9,2025-11-20 09:51:59
1854,12367,7,2025-02-21 05:44:30
2113,9271,10,2023-05-25 03:34:02
2304,3976,10,2024-09-12 11:59:14
3024,16091,9,2023-01-03 16:32:20
749,17233,8,2023-07-06 23:39:29
3053,17444,9,2024-06-20 00:21:25
4760,13657,8,2025-06-08 07:28:29
4780,15646,10,2025-03-13 19:56:15
1042,2731,10,2024-05-09 19:26:27
1871,3299,9,2025-06-13 19:55:30
4775,8957,10,2024-07-15 00:57:09
2478,17411,5,2023-09-15 05:20:19
4008,15156,0,2025-03-22 07:22:14
1987,17277,9,2025-08-01 11:27:40
180,6704,10,2024-07-31 18:58:48
4213,1969,10,2023-01-16 06:21:12
1762,4937,10,2024-06-24 11:19:55
1616,2113,6,2025-01-15 08:58:04
3157,879,7,2025-03-20 17:29:34
1187,19076,4,2024-07-17 15:57:29
1497,12990,10,2024-04-19 09:47:38
308,7278,3,2024-10-23 16:28:28
3158,5710,9,2025-02-09 08:37:19
4150,12079,6,2025-11-29 22:27:59
2394,6688,9,2024-06-06 22:55:51
1578,6419,10,2023-11-02 17:55:48
1807,10432,10,2025-07-13 19:06:38
3781,9983,9,2023-05-05 13:06:43
4020,19074,10,2025-05-31 03:53:55
2136,4630,7,2024-02-29 21:35:37
2878,8863,10,2023-07-11 13:14:18
2388,4668,9,2023-10-16 16:09:27
966,14164,9,2025-11-16 03:40:34
1376,386,10,2025-11-07 22:11:17
4579,4187,9,2024-07-21 15:45:53
2629,5346,10,2025-03-16 01:50:39
4807,2196,4,2024-09-19 12:11:28
4396,14991,9,2024-03-17 22:25:19
4262,12635,10,2023-09-25 17:48:55
2123,1078,7,2025-11-11 16:30:55
1970,6287,4,2023-05-24 05:59:05
2952,5934,10,2024-04-25 23:24:47
2043,18513,4,2024-02-23 09:16:38
245,19718,10,2023-09-12 02:13:50
4212,13364,8,2024-05-16 06:46:37
1209,8073,10,2025-12-10 18:25:45
3175,17021,10,2025-03-07 18:34:37
2680,9544,10,2024-01-23 23:38:09
3549,19095,10,2025-04-22 03:17:27
1571,13356,7,2024-10-31 05:02:34
4868,18632,4,2023-11-05 17:47:08
3240,2849,10,2025-06-10 03:53:13
4294,12792,10,2025-09-23 23:16:45
1420,7723,10,2025-03-09 01:53:25
4834,813,9,2024-01-06 20:51:49
1226,11194,8,2023-07-25 03:28:59
4116,5136,5,2023-12-08 08:09:59
4430,8511,6,2024-12-23 12:32:02
4319,7435,6,2024-12-19 16:09:38
332,16477,10,2025-03-11 00:16:18
1886,937,5,2025-04-12 20:17:14
3814,11966,10,2024-09-19 05:22:45
3734,1693,8,2025-08-02 13:18:53
2676,6217,8,2024-06-10 04:17:32
1814,9460,9,2025-02-22 05:09:16
3740,12528,9,2025-06-24 06:06:52
4110,15485,9,2024-01-19 04:57:25
4132,5793,10,2024-01-24 16:12:48
478,12267,10,2025-08-27 05:00:01
3258,2222,5,2023-07-05 18:19:03
744,15758,9,2025-04-15 08:57:21
3398,4694,9,2024-10-12 06:03:01
1032,10109,9,2023-08-29 10:27:15
1811,5108,6,2024-12-17 23:59:56
2266,13481,10,2024-01-25 11:03:15
2387,4746,7,2024-02-18 06:48:22
4993,1605,10,2025-06-09 10:14:31
4858,17396,9,2025-02-10 14:17:51
1393,16864,4,2023-02-15 02:01:50
2632,8214,10,2025-03-30 10:07:07
961,1093,10,2023-07-01 13:28:42
150,13885,10,2025-07-24 22:18:41
959,6312,10,2023-01-03 16:23:28
3659,9013,10,2024-04-09 17:48:17
1867,352,7,2023-11-26 09:14:16
201,14783,3,2023-04-23 08:03:21
100,1531,9,2023-12-04 16:50:10
1892,13592,10,2025-05-15 15:24:12
4850,15216,8,2023-10-11 19:52:34
4639,11541,1,2025-05-06 19:46:21
3684,219,7,2023-01-25 13:03:44
2732,6814,8,2024-01-10 17:06:53
479,5358,7,2024-09-02 00:12:04
3567,15730,10,2023-06-13 11:16:45
2503,13044,9,2023-07-18 09:50:19
1291,1454,10,2024-06-17 00:45:42
4464,14933,6,2023-10-21 02:03:10
4501,4741,9,2024-08-20 15:09:14
4694,2815,10,2025-09-10 06:52:21
1774,7887,10,2023-06-09 17:10:30
3739,4974,9,2025-10-19 10:54:30
3457,1183,8,2025-02-14 21:37:13
558,10036,9,2024-12-25 00:22:47
347,3948,2,2023-02-23 12:46:45
2031,3190,9,2023-04-21 17:39:13
80,14481,10,2025-10-13 10:16:40
1055,19827,8,2024-04-19 19:28:37
4537,9624,10,2025-07-24 23:34:45
4677,1007,10,2023-12-12 04:05:18
3821,2326,8,2024-02-17 17:07:36
4996,10646,10,2023-07-17 19:32:47
4088,19524,9,2024-07-11 00:25:36
2872,17726,10,2023-05-12 07:26:46
1318,5744,10,2024-11-19 23:35:59
1003,12681,10,2024-06-23 19:42:53
4201,14584,7,2024-09-12 23:01:02
1575,19258,10,2024-09-08 22:29:58
1268,11882,9,2024-03-02 08:26:30
3793,1028,8,2024-06-29 23:11:09
93,4070,6,2024-02-23 21:44:11
553,18573,4,2024-10-04 06:02:25
2269,14653,8,2025-10-20 00:23:18
2073,6651,8,2023-02-01 04:20:05
4049,15784,10,2024-05-07 11:12:44
1656,17649,9,2024-08-12 16:13:25
3057,4623,8,2023-08-03 02:40:23
4787,10386,10,2023-12-22 15:54:14
1960,13671,10,2024-12-21 13:12:04
1228,14047,7,2024-10-21 15:38:00
4454,1963,10,2023-12-03 20:17:50
1409,19875,10,2025-10-03 09:31:48
4301,1600,7,2025-07-15 07:09:02
3441,9676,9,2025-03-14 13:35:46
2362,10953,9,2025-02-03 11:04:21
4029,4334,9,2023-03-31 08:24:11
3626,12100,9,2024-08-29 15:41:30
2739,6956,5,2024-08-29 19:58:25
2429,18822,10,2023-08-20 06:47:05
2627,8546,6,2025-07-04 21:04:21
19,15975,7,2024-09-30 21:06:18
3675,13723,7,2024-08-29 12:00:02
4538,696,8,2023-12-13 08:59:37
1861,15631,10,2023-03-06 07:22:44
3221,13590,10,2024-03-05 11:04:00
3505,14522,10,2023-01-13 18:51:07
2121,19918,6,2025-06-15 02:27:13
1329,9771,10,2024-07-05 05:04:47
3667,13378,6,2023-05-31 02:18:28
1044,1035,8,2024-03-23 19:40:25
2663,10843,8,2023-08-09 02:06:36
4951,16593,10,2023-01-07 08:47:28
2944,10422,7,2025-08-24 18:15:17
3982,10980,10,2023-03-27 13:37:41
2652,2128,9,2024-04-13 14:38:13
78,12188,9,2023-06-27 04:54:12
712,5971,10,2025-02-07 16:43:05
3614,13226,9,2025-05-02 20:03:40
4093,994,6,2023-07-16 10:03:19
2926,15085,8,2023-10-13 05:52:14
4561,14846,7,2023-01-17 11:48:48
2946,14946,9,2023-01-23 00:54:59
1042,448,8,2025-11-14 03:33:25
1847,17278,10,2024-11-14 07:14:11
4637,5454,8,2024-05-05 18:24:01
376,3212,10,2025-10-25 11:00:31
243,5562,7,2024-08-26 14:54:11
4438,18912,10,2024-09-15 10:35:18
3258,3211,10,2025-03-07 13:11:39
3823,13814,8,2023-09-02 11:39:04
2292,8967,10,2023-12-22 17:09:51
1554,17654,10,2023-03-30 00:19:24
921,10650,7,2025-04-26 09:59:19
4310,19715,10,2024-10-08 02:11:18
1379,3972,9,2024-03-08 01:40:51
2966,10808,9,2024-08-16 14:28:58
4000,19545,9,2025-07-25 18:16:58
3627,11367,9,2024-05-19 14:34:42
3138,3779,6,2024-11-01 03:52:29
614,13080,10,2024-03-26 22:30:55
1268,6353,6,2024-12-01 04:37:54
3655,4008,5,2025-11-04 08:45:25
2163,3777,9,2023-07-03 02:31:15
256,17148,10,2024-12-04 18:45:40
4517,14105,10,2023-03-17 00:00:59
2715,19146,10,2024-10-27 01:04:01
145,19184,9,2023-09-05 18:40:52
3614,8427,6,2024-10-25 10:04:39
612,4338,7,2024-03-09 11:15:48
103,8118,10,2024-08-09 04:28:00
288,7764,10,2024-04-29 15:24:10
3732,14013,1,2024-12-16 17:41:07
714,13652,10,2024-08-25 01:31:30
539,439,7,2024-10-26 06:36:42
4547,16534,9,2024-12-21 21:59:31
4084,3270,9,2023-04-17 20:38:18
4683,3753,10,2024-03-22 19:03:33
1830,9114,8,2025-07-22 23:36:52
1718,9441,9,2025-06-04 19:41:14
2476,1740,9,2024-05-30 01:52:22
40,607,10,2023-01-03 13:51:40
518,17086,9,2024-02-24 11:57:11
1410,12999,10,2024-05-11 07:24:29
3793,16973,3,2024-01-24 19:08:12
942,18367,10,2025-06-23 03:44:14
3334,15684,8,2023-03-12 15:54:39
1114,11038,10,2024-10-28 16:04:04
4160,5747,10,2025-08-08 23:11:00
455,11585,8,2025-12-21 06:02:04
4565,6271,6,2024-10-17 21:46:35
3572,8852,10,2025-03-03 01:27:50
2463,18409,10,2024-01-19 16:56:33
703,6601,10,2025-03-13 05:44:12
4380,11379,10,2025-06-08 21:33:30
4395,17190,10,2024-11-24 12:45:04
3696,11606,7,2025-09-28 07:39:43
73,6910,6,2025-05-08 09:46:56
786,739,9,2024-12-18 00:21:58
4372,1995,10,2023-11-30 23:23:13
2697,120,10,2023-01-26 11:19:41
3091,14927,10,2024-04-03 13:09:13
3130,17610,10,2023-01-19 16:29:36
3342,17437,8,2025-07-01 06:33:42
723,18554,9,2025-07-10 01:23:32
4300,7294,9,2024-01-19 03:51:44
3089,3406,9,2023-03-24 06:24:29
1487,10538,8,2023-07-22 21:09:37
936,18467,8,2023-02-21 06:58:09
1505,8627,8,2025-12-05 03:40:12
2630,3482,8,2023-12-28 17:58:38
345,17819,8,2025-07-10 03:28:00
4948,128,10,2024-08-14 19:49:20
3387,13427,8,2023-12-21 15:11:23
712,10611,10,2023-10-01 14:15:55
90,15274,9,2023-01-30 20:51:28
2942,19581,9,2025-07-13 00:36:47
443,19286,7,2024-08-17 03:31:55
1847,12823,9,2024-02-18 11:32:37
1277,3074,8,2025-04-30 16:36:17
3901,2381,10,2025-03-14 13:14:57
998,2484,10,2023-10-13 14:30:02
4499,3462,9,2025-08-23 08:05:13
3029,15232,10,2025-07-09 23:11:19
4315,7459,9,2023-01-08 00:12:51
3948,15885,10,2025-03-16 09:20:11
331,6886,8,2023-12-27 10:33:20
162,15098,6,2023-01-06 06:26:36
2312,18685,10,2024-08-22 19:24:26
2226,14971,9,2024-11-15 07:24:28
4529,804,6,2025-05-06 00:48:52
1658,475,8,2025-10-23 16:08:22
1414,8609,7,2023-05-05 13:15:54
2484,6483,10,2024-05-22 12:07:39
3142,18288,8,2025-09-02 22:14:23
99,5558,0,2024-01-22 13:18:27
319,13949,10,2023-03-23 05:21:14
4777,8892,9,2024-06-13 20:40:27
775,12522,4,2024-02-05 01:17:45
1040,4449,10,2025-10-16 17:22:49
3606,485,9,2023-09-25 09:10:43
1054,10423,4,2023-10-03 16:35:54
1410,19412,8,2025-10-09 11:34:58
1872,14901,8,2025-09-23 00:23:08
3805,11227,10,2024-02-21 12:51:26
615,19133,10,2025-12-23 05:04:19
806,7921,10,2025-07-20 08:03:13
3727,7912,9,2025-12-02 23:32:00
4301,2767,9,2024-11-15 04:42:40
227,14866,9,2025-03-18 16:23:48
2739,16507,9,2024-10-17 03:49:53
70,11689,9,2025-10-09 08:15:01
93,4038,9,2023-04-08 10:54:52
116,857,6,2025-05-03 20:46:32
1061,16137,10,2023-04-09 04:20:05
2431,8831,7,2025-10-13 03:33:49
2154,8804,7,2023-08-29 10:30:42
828,11839,9,2024-09-24 12:17:37
4208,3827,9,2023-09-14 18:16:45
2307,18128,10,2024-08-31 14:09:52
4368,5996,7,2023-12-10 04:35:07
308,504,9,2025-09-01 01:20:29
2323,2960,6,2023-12-14 21:16:24
2755,7989,9,2025-04-11 00:22:04
2034,9641,10,2024-05-17 02:23:37
4319,8110,10,2025-07-18 18:25:13
4545,5383,10,2024-05-21 14:44:14
1697,13952,5,2024-10-31 10:45:00
3818,13139,9,2024-09-16 01:30:49
1426,17988,9,2023-02-15 20:11:35
1519,13436,9,2023-04-01 20:11:34
1417,7726,9,2023-09-05 12:11:54
3887,12034,10,2024-09-11 08:46:39
4081,8130,9,2024-04-16 11:06:00
1717,12788,10,2023-08-20 15:46:01
3154,8293,10,2025-03-22 16:32:02
612,18322,10,2024-06-16 15:30:12
4107,13061,9,2023-05-30 06:13:06
3020,3296,9,2024-03-05 23:25:34
712,8958,7,2025-02-19 14:55:29
4880,116,10,2023-10-10 23:58:10
3897,5648,8,2024-08-05 22:39:02
1125,12625,8,2025-10-04 12:05:53
1632,14748,0,2023-08-17 18:18:50
187,7182,8,2024-11-05 13:53:46
3623,1711,9,2023-02-18 12:07:25
4083,15958,7,2023-07-21 14:02:05
4030,5818,5,2023-02-06 10:13:47
1141,15279,9,2023-08-06 11:22:35
2878,2481,10,2024-10-02 03:27:28
976,10251,7,2024-01-27 05:42:55
2075,4033,9,2023-01-14 02:25:38
823,13348,8,2024-05-17 20:45:41
3760,16531,8,2025-04-29 21:25:06
837,9515,10,2023-11-14 18:12:38
3274,4611,9,2024-01-12 11:52:51
4064,5118,8,2023-08-03 14:57:48
720,16947,10,2024-10-05 18:22:32
1711,6386,9,2023-08-20 10:21:04
2325,15140,8,2024-06-19 09:09:56
4953,6272,7,2025-02-10 15:04:51
2091,342,10,2023-06-03 21:50:42
178,829,10,2025-03-16 20:44:19
2790,12530,6,2025-11-16 04:14:58
1071,11552,10,2025-11-11 08:33:31
4582,9528,9,2024-03-13 23:26:04
994,11837,9,2025-11-21 07:54:21
3075,314,4,2024-02-02 05:57:26
4267,11698,9,2023-03-07 18:26:46
891,10052,6,2025-03-28 11:07:25
3582,12864,10,2025-08-11 06:12:12
4481,16071,8,2023-09-21 08:30:55
4212,17137,9,2023-01-15 13:21:53
4445,18262,8,2023-06-02 02:24:51
264,4910,10,2025-10-24 02:14:45
2560,17797,8,2024-12-04 08:20:00
2674,8874,9,2023-09-21 12:41:58
2333,18286,7,2023-09-10 23:39:16
2915,410,6,2025-09-26 02:45:09
2059,3796,9,2024-04-07 22:14:11
2311,2704,8,2025-09-30 10:13:23
3861,10343,10,2025-10-07 22:56:27
2795,4982,4,2025-05-24 05:31:18
2927,8583,4,2023-11-03 18:50:53
4025,7668,10,2023-06-05 05:17:23
4231,17518,1,2023-07-22 22:39:31
835,17184,10,2024-03-07 23:00:04
4057,9726,9,2025-10-05 05:11:11
2348,18154,8,2024-11-19 21:49:17
2808,7500,9,2023-02-21 10:59:22
386,17037,9,2023-07-06 01:26:58
3838,7721,4,2025-11-08 14:01:17
167,1906,8,2025-05-22 00:34:06
936,6718,9,2024-10-02 04:16:01
2725,2175,10,2023-08-04 20:37:18
117,6770,10,2025-03-02 23:21:11
926,7162,10,2024-06-22 23:00:42
1300,6505,8,2024-01-11 04:13:15
966,18766,10,2024-11-11 09:57:45
1297,4421,8,2025-06-08 09:26:08
2514,1273,9,2023-10-12 09:25:20
1010,452,10,2025-10-06 04:02:08
4714,3520,8,2025-12-31 23:15:22
2656,17478,10,2024-04-26 06:19:36
458,9568,10,2024-09-09 20:30:10
3019,248,4,2023-06-12 12:34:03
3111,17816,10,2024-03-26 01:55:11
1453,1748,7,2024-06-19 19:47:04
1255,2086,9,2023-06-04 18:01:05
2748,12493,10,2023-11-01 11:54:16
3007,13352,7,2025-04-22 19:54:11
1963,4975,10,2023-10-30 11:51:00
4930,3499,10,2024-03-01 09:58:29
1818,13443,10,2023-12-03 14:33:31
3518,1085,9,2025-11-01 16:29:45
2416,4936,10,2023-10-31 10:00:02
2391,6238,10,2023-02-02 09:09:12
1660,6735,9,2023-02-06 16:01:42
1261,12984,5,2023-09-04 01:48:52
423,14250,6,2025-07-09 07:20:50
3871,11983,8,2024-05-04 19:26:33
2945,5923,10,2025-08-19 12:19:38
1202,17269,7,2023-04-22 04:15:56
2582,8949,10,2023-10-15 07:47:54
3828,19451,7,2024-07-12 17:15:44
4697,4150,9,2025-11-04 20:07:03
3822,5100,10,2025-07-14 08:52:36
52,9513,9,2025-09-27 16:09:07
2197,13260,10,2025-01-26 11:18:55
4099,17361,7,2025-06-23 23:21:22
115,17038,10,2025-05-17 02:29:11
1989,3336,10,2025-07-03 19:07:35
823,17586,9,2025-11-06 16:56:05
1956,19820,9,2024-07-02 23:11:29
4112,13729,10,2025-08-04 17:36:16
3479,9894,3,2023-02-09 13:18:12
1998,7651,8,2025-01-07 13:08:23
4469,2239,8,2024-08-27 04:03:42
440,14205,8,2023-11-07 02:34:40
4043,252,8,2024-02-01 19:57:31
3183,8197,10,2023-01-08 02:56:21
3580,4707,4,2025-02-04 15:42:45
4593,8144,9,2023-04-27 06:46:32
4268,2715,10,2023-02-08 22:15:15
2799,18080,0,2023-12-30 23:19:56
3020,9530,9,2024-11-20 10:01:47
4123,10342,9,2024-05-21 19:01:17
3285,15291,9,2025-06-23 13:00:59
231,327,3,2023-06-09 15:44:57
3326,4981,10,2024-11-12 18:13:33
2437,7439,6,2023-12-11 04:13:13
4725,6648,7,2025-07-01 20:24:13
3931,6259,6,2023-12-26 13:36:23
2558,9048,6,2023-11-05 23:59:30
2357,3394,8,2024-12-31 03:23:57
3452,17665,2,2024-02-07 06:30:16
1798,19415,10,2024-12-02 11:18:04
4779,16118,2,2023-06-20 21:19:26
4984,1338,9,2024-03-27 02:35:53
1238,3169,9,2024-08-07 02:54:08
1337,12861,4,2023-03-03 20:55:08
2882,19815,9,2024-08-26 17:57:29
1199,2394,10,2023-02-21 02:47:30
4248,19916,10,2025-05-17 12:37:37
1817,15180,7,2025-12-21 22:02:46
1326,5924,8,2023-12-13 23:45:29
842,16298,6,2023-05-22 03:53:30
3444,2744,6,2024-08-06 21:54:24
2994,5006,6,2025-04-07 03:38:02
1447,18717,10,2024-07-18 00:31:53
188,19614,0,2023-09-28 09:13:20
2599,11644,9,2024-05-28 03:16:58
1164,4120,9,2023-06-28 21:21:06
2039,2091,10,2024-12-12 11:59:09
4277,7444,9,2025-03-05 07:05:28
1927,8732,3,2024-05-11 04:43:29
3263,14405,9,2024-10-03 16:26:16
247,5703,8,2025-04-22 11:57:17
442,3801,7,2025-06-01 21:20:02
1487,11420,8,2024-05-29 10:30:45
3109,2009,8,2024-12-11 03:52:48
894,1494,9,2023-04-29 09:59:40
3095,9283,7,2025-12-04 04:26:55
1471,7790,8,2025-11-27 11:55:32
4045,3849,10,2023-12-13 06:14:24
255,15651,9,2023-10-24 00:39:29
87,19144,9,2025-06-05 23:26:46
1158,18552,9,2023-02-17 03:46:57
2548,19250,9,2024-03-18 18:27:07
746,4195,8,2023-04-23 09:27:03
4666,1513,10,2024-01-20 05:13:13
3950,2749,7,2023-11-12 04:26:14
3153,18212,9,2023-10-09 03:06:50
700,3734,8,2023-12-01 11:14:56
1929,7655,0,2024-03-11 15:56:42
4945,2347,10,2023-07-11 22:07:41
2671,2520,8,2024-01-01 01:18:10
3197,719,4,2024-06-01 00:24:04
4592,140,9,2024-02-01 15:40:45
4597,17948,7,2024-02-06 06:36:35
4561,17763,10,2025-05-30 14:39:34
4583,2445,10,2023-01-08 00:22:49
2446,5199,9,2024-08-02 03:07:33
3188,1403,8,2024-09-26 12:32:27
3308,16322,8,2023-03-09 14:48:20
362,1731,3,2023-08-08 13:53:32
763,9261,9,2025-09-26 16:27:55
389,3722,9,2025-03-29 08:17:29
3766,17841,9,2023-11-24 21:05:26
3082,19737,10,2025-09-26 04:56:32
3964,8122,9,2024-01-31 02:44:31
765,9532,0,2025-07-10 04:26:02
1431,17731,9,2025-04-29 14:51:15
4169,18907,10,2025-06-27 08:45:07
73,14284,10,2023-04-23 22:38:15
763,4075,8,2025-05-21 02:20:36
3435,9050,2,2023-08-23 05:33:47
744,6439,10,2023-11-24 21:12:11
712,2268,0,2024-10-07 01:44:27
2357,2831,10,2024-06-17 04:55:35
1235,10496,9,2023-12-09 22:38:47
2508,14178,9,2023-09-13 09:52:19
2539,12292,10,2023-05-24 05:20:38
2878,8367,9,2024-12-01 17:19:42
3922,16895,10,2023-08-07 18:51:44
4281,8467,10,2024-07-13 18:35:09
2109,2933,7,2023-04-01 02:41:46
2812,13785,7,2023-07-23 18:55:27
375,16076,9,2024-01-13 08:34:24
3962,12951,10,2024-06-19 13:34:48
3716,2947,8,2024-01-11 02:34:20
2637,17515,1,2023-02-11 16:31:24
2599,11293,7,2024-09-21 13:17:39
412,19607,9,2024-05-07 09:14:26
4477,9391,10,2025-12-24 10:21:27
1131,9294,8,2024-09-07 21:35:12
4624,17748,10,2025-12-11 08:08:22
3612,6163,8,2025-05-20 15:30:52
3905,9759,10,2023-05-18 23:27:15
2205,8545,10,2023-11-03 04:52:33
4655,2580,6,2025-03-17 04:55:09
2595,4388,9,2023-04-20 16:21:17
4686,11226,8,2025-04-04 03:27:36
2851,18150,8,2023-06-02 15:53:45
4499,4833,10,2023-07-02 12:40:03
351,9392,10,2023-09-29 08:34:16
4774,6706,9,2023-01-11 15:58:10
3410,16193,10,2023-08-25 22:13:11
192,2627,10,2024-08-27 14:37:08
4557,9099,9,2023-07-12 12:10:34
3856,10873,8,2024-08-12 20:22:53
4533,6889,10,2025-12-17 19:35:14
4129,19365,8,2024-04-07 00:12:23
3966,5688,9,2023-04-17 11:28:25
1800,4950,9,2023-10-02 21:52:40
3527,14307,10,2025-06-20 20:23:33
2253,11331,10,2023-12-31 03:35:12
3930,19491,9,2025-04-19 13:47:18
4838,1806,7,2023-06-03 04:47:28
3472,13812,8,2025-08-06 03:08:14
1364,11998,6,2025-08-13 20:10:20
4316,16481,10,2024-02-20 09:30:05
212,8509,6,2023-02-20 18:52:32
1844,19716,7,2023-12-01 07:26:02
2438,8576,7,2023-12-16 15:29:27
1294,4878,8,2023-02-04 06:59:53
3779,10880,9,2023-04-22 23:55:08
4565,1148,10,2023-04-21 12:47:18
3401,6077,10,2023-08-12 21:54:10
3860,6310,9,2025-03-20 17:23:55
2993,6211,10,2023-03-10 21:13:54
4112,16880,10,2025-09-19 08:42:42
4590,5715,9,2025-03-02 16:17:23
3478,15993,10,2024-06-14 22:51:43
937,15144,2,2023-07-07 23:55:59
2379,13303,5,2025-05-15 06:57:48
1595,425,10,2023-11-10 15:04:59
3417,7361,7,2025-01-06 10:32:33
674,19417,3,2023-06-08 18:57:29
3617,7242,10,2024-04-03 16:36:54
