id_atendimento,id_cliente,id_servico,data_abertura,data_fechamento,tempo_atendimento_min,custo_real
33,2387,5,2023-10-31 02:51:34,2023-10-31 05:08:34,137,128.2002826170828
34,2856,1,2024-03-29 07:15:06,2024-03-29 10:22:06,187,96.74740592850893
35,3496,7,2025-01-11 05:03:18,2025-01-11 05:21:18,18,244.96992872620885
36,1650,8,2025-12-28 14:17:59,2025-12-28 16:15:59,118,214.22861132686776
37,2862,4,2024-02-10 01:47:04,2024-02-10 05:10:04,203,115.31862807855303
38,657,1,2025-10-23 14:46:56,2025-10-23 15:39:56,53,64.87973275599785
39,215,1,2024-02-27 17:37:00,2024-02-27 19:57:00,140,95.75342407271705
40,639,4,2023-05-29 10:33:17,2023-05-29 12:40:17,127,243.12062185267823
41,4131,2,2023-08-22 23:16:42,2023-08-23 03:31:42,255,191.8732291584719
42,3831,2,2024-03-30 14:07:24,2024-03-30 16:57:24,170,144.35766949209815
43,2371,6,2025-12-18 01:20:23,2025-12-18 03:33:23,133,73.42151998762839
44,687,8,2024-11-27 21:51:46,2024-11-28 02:03:46,252,214.70591453449396
45,3756,5,2025-04-09 05:20:01,2025-04-09 09:09:01,229,130.09398444843916
46,3252,2,2023-11-02 08:46:28,2023-11-02 10:57:28,131,182.94042026766883
47,592,8,2024-07-02 16:44:32,2024-07-02 18:40:32,116,198.139148353086
48,553,6,2023-07-22 19:01:06,2023-07-22 22:40:06,219,71.46823239344226
49,2105,4,2025-01-17 14:36:38,2025-01-17 17:12:38,156,116.85604883841214
50,2323,8,2024-11-09 16:33:51,2024-11-09 16:48:51,15,62.019442504079805
51,2418,3,2023-01-28 20:45:40,2023-01-29 00:26:40,221,78.43638788147888
52,1392,4,2024-08-09 11:53:20,2024-08-09 14:08:20,135,87.42257227510754
53,1199,7,2023-08-28 19:33:04,2023-08-29 00:02:04,269,142.9958106804827
54,4925,2,2025-04-30 08:14:58,2025-04-30 08:27:58,13,120.23491294426128
55,2261,5,2024-12-29 14:17:42,2024-12-29 16:26:42,129,245.03217238638018
56,48,3,2024-09-19 03:06:53,2024-09-19 04:17:53,71,222.32840107756294
57,655,7,2023-06-17 07:42:34,2023-06-17 08:17:34,35,128.3342570828593
58,2922,6,2024-02-26 17:51:09,2024-02-26 20:45:09,174,34.41366001569731
59,526,6,2025-12-06 03:07:11,2025-12-06 05:13:11,126,42.12275251258774
60,2743,5,2025-11-12 17:25:05,2025-11-12 20:04:05,159,147.21391047310624
61,4075,1,2024-06-25 23:18:29,2024-06-26 02:37:29,199,242.66690797478134
62,4507,8,2023-11-24 11:30:45,2023-11-24 13:13:45,103,137.6274220362332
63,695,5,2025-12-26 06:06:49,2025-12-26 06:52:49,46,65.32477039892353
64,3800,6,2025-01-02 18:50:21,2025-01-02 21:58:21,188,179.8870309860887
65,4365,4,2023-08-22 12:55:27,2023-08-22 17:16:27,261,176.8742931088593
66,4336,1,2024-05-13 00:06:33,2024-05-13 02:44:33,158,184.66745206818013
67,4893,7,2023-07-24 23:09:15,2023-07-25 02:52:15,223,82.20869641604162
68,2840,1,2023-12-09 11:42:49,2023-12-09 15:48:49,246,71.35990700179244
69,4046,1,2023-07-25 09:11:56,2023-07-25 11:24:56,133,95.22953720689327
70,902,5,2024-02-26 09:34:18,2024-02-26 10:37:18,63,247.97214121688737
71,2081,7,2024-10-30 21:20:54,2024-10-30 22:48:54,88,179.9495631781378
72,4907,5,2025-06-14 07:09:31,2025-06-14 09:44:31,155,237.05472035098612
73,3806,7,2023-03-25 14:49:08,2023-03-25 17:45:08,176,68.07101123828824
74,4262,7,2023-06-15 18:21:36,2023-06-15 20:16:36,115,70.10947412299217
75,2674,6,2025-03-27 17:39:33,2025-03-27 18:36:33,57,95.18211529118418
76,587,4,2023-12-11 20:36:27,2023-12-12 01:19:27,283,73.59255997261528
77,2256,5,2023-10-25 19:49:51,2023-10-26 00:14:51,265,200.67586064111887
78,1798,2,2024-02-04 07:41:05,2024-02-04 12:01:05,260,182.61676345436462
79,1592,7,2023-10-19 09:35:01,2023-10-19 14:23:01,288,233.23447410964215
80,3848,3,2023-10-19 19:42:07,2023-10-19 22:14:07,152,36.947427671898765
81,2459,5,2023-05-09 10:39:06,2023-05-09 12:01:06,82,122.53236883807541
82,4977,3,2023-01-12 21:32:00,2023-01-12 22:27:00,55,52.48412592074019
83,1023,2,2024-11-07 12:06:46,2024-11-07 16:20:46,254,229.53855910818842
84,3614,6,2025-03-04 04:55:48,2025-03-04 07:01:48,126,186.6658482921433
85,3766,6,2024-09-06 05:37:44,2024-09-06 07:15:44,98,146.1497604303895
86,1423,5,2025-12-03 01:55:35,2025-12-03 06:09:35,254,34.91149815060634
87,4997,2,2023-09-22 04:58:38,2023-09-22 08:04:38,186,236.76224339432224
88,954,5,2025-05-04 18:35:16,2025-05-04 19:57:16,82,36.838791564275034
89,2460,5,2025-02-19 06:58:11,2025-02-19 08:22:11,84,60.2007849029883
90,1124,7,2023-10-25 22:51:40,2023-10-26 03:18:40,267,69.2399630093038
91,1177,1,2024-09-23 11:17:44,2024-09-23 12:35:44,78,91.18526047832663
92,3468,6,2023-05-05 03:22:23,2023-05-05 08:07:23,285,143.29568663799273
93,3805,4,2025-10-05 14:09:20,2025-10-05 15:30:20,81,134.21396208222194
94,3003,6,2025-12-03 17:57:17,2025-12-03 22:57:17,300,77.988422552951
95,2985,7,2024-01-04 19:09:02,2024-01-04 22:50:02,221,180.6352223561781
96,2252,2,2024-08-31 19:44:39,2024-08-31 22:35:39,171,190.2932595793957
97,1617,8,2025-04-06 12:05:02,2025-04-06 13:27:02,82,211.75293616016518
98,2579,1,2024-10-10 14:24:02,2024-10-10 18:35:02,251,148.2232268294615
99,2547,6,2025-08-14 15:27:28,2025-08-14 17:17:28,110,111.554588500779
100,357,2,2024-03-25 08:18:08,2024-03-25 09:14:08,56,72.35448385976942
101,1531,1,2024-07-12 17:51:34,2024-07-12 20:35:34,164,134.53257810912214
102,4281,4,2025-03-17 15:47:36,2025-03-17 20:04:36,257,114.8750247229624
103,4230,4,2025-03-28 19:08:13,2025-03-28 23:43:13,275,77.23432221940624
104,3673,4,2025-04-30 06:46:13,2025-04-30 10:49:13,243,48.59591747549246
105,4724,8,2024-03-20 17:44:08,2024-03-20 19:19:08,95,113.79792488666808
106,2369,3,2023-06-13 19:35:19,2023-06-13 21:11:19,96,100.54713750240059
107,4341,1,2025-11-10 22:49:26,2025-11-11 02:57:26,248,179.74409995520463
108,2243,2,2024-12-14 21:10:48,2024-12-15 00:48:48,218,52.58860836008992
109,3017,8,2025-11-29 22:21:44,2025-11-30 00:14:44,113,199.54037027758147
110,4477,8,2024-07-20 04:15:25,2024-07-20 05:42:25,87,110.68823465468208
111,4415,7,2024-02-09 11:05:51,2024-02-09 13:28:51,143,113.56493270984205
112,1285,1,2025-01-17 20:04:59,2025-01-17 22:00:59,116,159.00501263478563
113,4225,5,2025-08-18 04:36:45,2025-08-18 09:34:45,298,129.63666783578412
114,4659,4,2023-11-10 19:36:53,2023-11-10 22:49:53,193,55.28153617542529
115,4423,8,2025-07-07 14:19:34,2025-07-07 16:56:34,157,140.03529056044403
116,2412,6,2025-12-20 01:04:30,2025-12-20 05:48:30,284,182.73567176991918
117,2009,2,2024-01-19 19:47:40,2024-01-19 23:48:40,241,73.95433549702847
118,2481,3,2024-12-20 21:38:36,2024-12-20 22:15:36,37,108.67530420953422
119,4909,5,2025-02-11 13:11:21,2025-02-11 13:28:21,17,184.4679130986491
120,1362,2,2024-10-23 01:03:00,2024-10-23 04:31:00,208,94.58724802339201
121,3982,1,2023-08-28 10:24:27,2023-08-28 10:47:27,23,95.23284377479101
122,2340,1,2024-10-18 05:43:02,2024-10-18 09:58:02,255,65.79125422170611
123,4047,3,2023-10-01 21:16:11,2023-10-01 21:50:11,34,140.56674021755447
124,921,3,2023-05-07 20:19:01,2023-05-07 21:20:01,61,77.66186514399507
125,4034,2,2024-04-18 09:30:23,2024-04-18 09:40:23,10,96.94136547603463
126,3636,5,2023-05-07 19:52:05,2023-05-07 21:13:05,81,186.76010113239005
127,4632,3,2024-11-09 00:18:54,2024-11-09 01:42:54,84,192.82411140539048
128,2145,2,2025-04-09 14:40:00,2025-04-09 17:11:00,151,220.05277469400062
129,4725,2,2024-04-29 04:07:14,2024-04-29 07:01:14,174,151.90168387185838
130,4068,7,2025-05-21 21:56:36,2025-05-22 01:43:36,227,219.3628983987212
131,4868,2,2025-01-10 07:22:15,2025-01-10 12:16:15,294,164.30788049541775
132,1105,8,2023-01-01 05:31:27,2023-01-01 09:56:27,265,215.8095755623588
133,1736,3,2023-12-10 23:30:24,2023-12-11 04:03:24,273,235.3622593395993
134,3916,2,2025-11-28 22:38:56,2025-11-29 02:30:56,232,96.89371207041992
135,1054,4,2025-09-28 02:54:14,2025-09-28 03:12:14,18,157.67903127528555
136,3615,8,2025-05-12 19:51:47,2025-05-12 21:39:47,108,82.64806835060264
137,1206,2,2025-02-04 22:10:51,2025-02-05 02:22:51,252,192.14922516136014
138,242,4,2023-03-04 17:28:11,2023-03-04 18:06:11,38,221.01937736229348
139,3212,3,2023-05-30 00:44:43,2023-05-30 01:50:43,66,175.8909909783443
140,1284,8,2023-03-24 21:10:42,2023-03-24 21:30:42,20,63.249392639706784
141,3427,1,2023-06-23 22:27:06,2023-06-24 01:16:06,169,74.73665079509847
142,3388,7,2025-11-16 00:18:46,2025-11-16 04:39:46,261,111.4734610780256
143,3748,5,2024-03-07 23:04:04,2024-03-07 23:44:04,40,150.07576303305723
144,4732,4,2025-03-23 07:34:30,2025-03-23 08:32:30,58,163.7025020140582
145,317,7,2025-08-07 23:25:22,2025-08-08 00:05:22,40,87.76502595894095
146,196,1,2024-02-02 13:44:07,2024-02-02 15:54:07,130,242.8631963133723
147,1865,2,2023-12-02 20:43:30,2023-12-02 23:58:30,195,38.60936931815818
148,2680,4,2025-03-04 18:21:09,2025-03-04 22:48:09,267,35.28002822899693
149,4909,7,2023-11-01 11:03:29,2023-11-01 13:51:29,168,176.8077547709579
150,2526,8,2024-01-14 17:43:32,2024-01-14 20:53:32,190,210.58182829985884
151,4719,5,2023-04-27 11:31:39,2023-04-27 13:45:39,134,188.15231892055562
152,1963,2,2023-07-25 09:37:30,2023-07-25 10:54:30,77,124.72423745643061
153,2190,8,2023-04-04 08:53:40,2023-04-04 11:52:40,179,163.37813281412724
154,2070,4,2025-07-12 19:30:26,2025-07-12 23:57:26,267,159.20133725340656
155,2286,6,2025-02-09 00:12:19,2025-02-09 00:53:19,41,185.40984332210084
156,533,3,2025-04-13 06:29:52,2025-04-13 10:14:52,225,118.3424224101841
157,4407,8,2025-11-22 23:28:37,2025-11-23 00:32:37,64,186.0709536970317
158,3493,5,2023-10-02 18:12:52,2023-10-02 22:05:52,233,30.9182056116125
159,3056,5,2025-07-25 01:18:03,2025-07-25 06:09:03,291,131.41990663916465
160,3997,8,2023-06-27 18:26:59,2023-06-27 21:48:59,202,194.52881676030094
161,2684,5,2023-08-20 14:26:37,2023-08-20 16:58:37,152,47.739502804069645
162,2762,2,2025-05-09 21:44:08,2025-05-09 23:27:08,103,62.288607056509136
163,2820,3,2025-07-12 21:29:35,2025-07-12 22:09:35,40,56.94439623971364
164,2170,5,2023-06-02 04:35:53,2023-06-02 06:52:53,137,150.94314053483396
165,3725,4,2023-03-12 19:35:57,2023-03-12 21:02:57,87,86.81592145816165
166,4783,5,2025-03-26 21:08:46,2025-03-26 23:00:46,112,224.7983345490332
167,3490,5,2023-10-07 21:27:21,2023-10-08 01:47:21,260,95.48595690285438
168,3767,7,2024-09-21 07:14:51,2024-09-21 10:55:51,221,136.62016264869627
169,3600,5,2025-11-04 00:45:54,2025-11-04 03:46:54,181,84.63502833179808
170,3437,5,2025-12-02 15:29:06,2025-12-02 18:53:06,204,61.81692473033466
171,4145,7,2025-09-11 15:02:50,2025-09-11 18:53:50,231,133.8050633571104
172,3105,3,2025-03-23 08:34:57,2025-03-23 10:03:57,89,34.44368342927432
173,2343,3,2025-10-11 01:28:00,2025-10-11 02:50:00,82,51.14602131946209
174,4336,4,2025-11-17 14:23:22,2025-11-17 19:21:22,298,36.17068296033473
175,4245,1,2025-03-19 14:17:47,2025-03-19 19:00:47,283,60.52236087314941
176,561,4,2023-12-08 14:48:36,2023-12-08 17:07:36,139,105.41115875690916
177,1485,5,2023-07-28 09:10:14,2023-07-28 12:35:14,205,192.78822570408866
178,888,6,2023-03-21 09:51:23,2023-03-21 14:33:23,282,44.023377423571844
179,3840,8,2023-12-17 21:25:33,2023-12-17 22:01:33,36,36.064552408884545
180,4138,3,2023-10-21 11:40:54,2023-10-21 13:03:54,83,182.60898665447533
181,3587,5,2024-02-09 01:35:05,2024-02-09 04:46:05,191,244.5996207071333
182,2024,5,2025-01-19 04:18:28,2025-01-19 08:26:28,248,107.11309880454034
183,4625,8,2025-10-18 09:05:54,2025-10-18 13:02:54,237,63.27436524617058
184,3078,7,2024-09-20 22:16:49,2024-09-21 02:58:49,282,179.06995613611102
185,48,6,2025-01-05 06:20:08,2025-01-05 10:11:08,231,50.05278733982983
186,4332,3,2023-05-22 05:49:13,2023-05-22 09:08:13,199,202.11305684682358
187,4578,3,2024-05-28 20:37:56,2024-05-29 00:58:56,261,94.51713641957606
188,4574,2,2024-05-10 18:45:19,2024-05-10 21:50:19,185,134.0841361294962
189,4505,4,2024-07-09 14:30:00,2024-07-09 19:21:00,291,139.3157855848193
190,2549,5,2025-01-26 19:54:11,2025-01-26 20:54:11,60,107.9069091475923
191,1128,1,2024-07-31 02:39:04,2024-07-31 06:43:04,244,236.7468618401155
192,2018,2,2023-11-16 11:17:40,2023-11-16 13:49:40,152,69.43308066853305
193,2630,7,2024-07-28 11:07:37,2024-07-28 11:18:37,11,98.60689218790155
194,2711,1,2025-02-13 04:10:57,2025-02-13 05:07:57,57,116.2004368658601
195,1693,5,2023-09-15 20:36:03,2023-09-16 01:28:03,292,121.13728578260671
196,304,7,2025-09-30 00:11:14,2025-09-30 01:29:14,78,217.26510983899723
197,1208,3,2024-01-31 10:50:58,2024-01-31 15:26:58,276,73.69244803105651
198,1834,5,2025-02-25 04:01:21,2025-02-25 05:44:21,103,87.44242272287745
199,46,2,2023-01-23 02:30:06,2023-01-23 03:07:06,37,156.5587035426247
200,4388,6,2024-10-08 20:14:34,2024-10-09 00:33:34,259,205.31000422447514
201,4422,5,2023-04-07 22:26:32,2023-04-07 23:28:32,62,159.29075536175958
202,758,4,2023-05-17 15:17:27,2023-05-17 18:30:27,193,155.47007007800454
203,2308,7,2024-04-18 09:42:04,2024-04-18 14:19:04,277,200.33429182935438
204,3806,8,2025-09-15 21:53:22,2025-09-16 01:17:22,204,82.00859040455796
205,4133,5,2025-09-30 00:57:47,2025-09-30 05:52:47,295,120.23874009337221
206,1987,7,2024-09-23 09:05:33,2024-09-23 11:43:33,158,91.72939942844431
207,2482,7,2024-05-03 05:34:50,2024-05-03 08:22:50,168,39.461216739493025
208,2162,2,2025-11-14 20:38:16,2025-11-14 23:43:16,185,88.35674639202676
209,4370,2,2025-03-16 16:19:36,2025-03-16 19:44:36,205,60.38196832657344
210,3169,1,2025-01-23 06:10:41,2025-01-23 06:51:41,41,133.90567176057658
211,2698,1,2023-03-02 11:29:27,2023-03-02 11:40:27,11,98.83008153155475
212,3635,1,2024-04-07 02:10:10,2024-04-07 02:54:10,44,83.03184018353612
213,2633,5,2023-11-06 12:21:19,2023-11-06 15:29:19,188,196.88345774384618
214,4804,4,2024-02-29 14:53:04,2024-02-29 19:01:04,248,37.96141895467729
215,4162,8,2023-04-11 00:52:50,2023-04-11 01:49:50,57,90.0087964053593
216,2199,6,2025-12-23 02:58:06,2025-12-23 05:46:06,168,163.20023591171423
217,2337,6,2025-08-25 08:23:50,2025-08-25 12:44:50,261,127.58663214541735
218,2980,5,2024-08-18 02:49:12,2024-08-18 07:26:12,277,199.38633009791457
219,3654,4,2025-09-19 23:16:03,2025-09-20 00:53:03,97,72.91258837630065
220,2397,4,2025-12-25 00:08:59,2025-12-25 01:51:59,103,98.59062324306525
221,363,5,2024-05-05 01:27:49,2024-05-05 06:25:49,298,112.87950799015985
222,1152,8,2025-11-13 12:59:52,2025-11-13 17:10:52,251,157.8902115444027
223,4099,7,2024-02-08 05:42:57,2024-02-08 09:19:57,217,85.77948466043425
224,2000,2,2024-11-04 01:30:55,2024-11-04 03:00:55,90,187.12238051367996
225,307,7,2023-12-26 01:31:46,2023-12-26 05:46:46,255,80.39785444985435
226,3707,5,2023-01-20 00:26:38,2023-01-20 04:38:38,252,147.0537841009492
227,826,5,2024-11-14 17:31:13,2024-11-14 19:01:13,90,33.913960221894136
228,120,7,2023-04-13 09:54:27,2023-04-13 13:38:27,224,112.07004996026137
229,2585,7,2023-06-25 20:33:29,2023-06-26 01:09:29,276,90.89498444058937
230,4775,4,2025-12-25 06:36:58,2025-12-25 07:06:58,30,225.36944588757189
231,4126,6,2024-06-27 18:03:05,2024-06-27 20:16:05,133,163.41230586385
232,1392,6,2023-08-04 16:32:35,2023-08-04 16:48:35,16,32.78582064646139
233,1876,7,2025-05-23 21:15:02,2025-05-23 23:39:02,144,166.5652826083805
234,4694,2,2024-05-21 02:16:19,2024-05-21 06:04:19,228,237.460367510015
235,1719,3,2024-08-30 21:48:26,2024-08-31 01:07:26,199,98.55129716677801
236,967,5,2025-03-07 02:21:05,2025-03-07 03:27:05,66,141.83050641274008
237,2368,3,2023-04-21 04:40:40,2023-04-21 08:04:40,204,174.47508370400863
238,4992,4,2024-07-11 12:02:27,2024-07-11 14:18:27,136,214.9099373316128
239,1639,2,2025-11-26 15:41:20,2025-11-26 15:58:20,17,242.2423931476266
240,4341,1,2025-07-28 12:34:58,2025-07-28 13:47:58,73,36.1197146683101
241,1681,6,2023-04-21 19:34:36,2023-04-21 21:21:36,107,245.0540288921506
242,1132,2,2025-08-16 01:30:26,2025-08-16 05:41:26,251,133.03978860532436
243,2308,5,2024-09-05 09:41:49,2024-09-05 13:56:49,255,170.57438457466822
244,2534,2,2023-03-11 17:49:54,2023-03-11 20:48:54,179,234.26612710793736
245,1818,7,2023-01-13 21:08:18,2023-01-14 01:38:18,270,30.471187055869212
246,558,3,2025-01-12 00:42:00,2025-01-12 02:40:00,118,178.2897171603144
247,29,7,2024-01-24 03:47:35,2024-01-24 08:23:35,276,122.39571682412607
248,1748,1,2025-07-03 05:39:34,2025-07-03 08:12:34,153,236.67493726109973
249,4018,4,2023-06-27 05:49:12,2023-06-27 10:47:12,298,74.17655803772882
250,4773,2,2025-01-13 09:31:13,2025-01-13 14:17:13,286,242.6980131623628
251,3068,8,2024-04-24 04:12:59,2024-04-24 06:44:59,152,186.633110052914
252,4138,3,2023-10-11 13:47:51,2023-10-11 18:17:51,270,97.69496885640183
253,314,5,2024-09-30 22:28:11,2024-10-01 00:01:11,93,109.43356072062987
254,4868,3,2023-03-11 12:43:24,2023-03-11 14:06:24,83,59.82051199626707
255,2232,1,2024-07-14 10:39:22,2024-07-14 12:54:22,135,88.0134124446937
256,4434,7,2025-11-04 05:24:31,2025-11-04 05:36:31,12,123.64298477852807
257,689,2,2023-10-11 11:17:42,2023-10-11 11:52:42,35,84.79239896053939
258,430,8,2025-11-29 08:08:53,2025-11-29 11:47:53,219,43.10324422078915
259,4894,7,2025-11-03 08:46:35,2025-11-03 13:15:35,269,213.79622620306404
260,423,2,2025-08-23 05:44:16,2025-08-23 06:44:16,60,111.16614584398056
261,2804,1,2024-03-15 15:36:28,2024-03-15 19:39:28,243,69.44522665803407
262,3709,8,2024-05-26 04:12:08,2024-05-26 09:04:08,292,195.38403038720807
263,2,2,2023-03-20 10:44:05,2023-03-20 14:09:05,205,91.7219988111344
264,4454,8,2023-06-21 18:05:30,2023-06-21 19:41:30,96,80.16153528374362
265,4550,5,2023-01-09 12:30:15,2023-01-09 14:28:15,118,44.88011904141007
266,3823,5,2025-07-20 09:57:43,2025-07-20 10:11:43,14,81.26452560544496
267,2,7,2023-01-22 13:21:56,2023-01-22 15:03:56,102,142.1340951001324
268,893,6,2023-01-22 17:54:29,2023-01-22 22:52:29,298,145.97771890498984
269,4171,3,2025-11-22 17:54:12,2025-11-22 18:58:12,64,190.26618426466624
270,696,8,2024-12-25 17:33:16,2024-12-25 17:58:16,25,235.137039473143
271,326,5,2023-03-29 01:17:09,2023-03-29 02:29:09,72,101.6712241984449
272,4965,3,2025-12-20 16:38:37,2025-12-20 18:15:37,97,203.89578612767153
273,3931,3,2023-09-15 02:54:22,2023-09-15 05:52:22,178,138.1658424394731
274,2676,5,2024-04-21 12:08:57,2024-04-21 16:29:57,261,156.01702063846125
275,1594,5,2024-10-15 00:03:44,2024-10-15 00:55:44,52,145.4050368330365
276,3943,2,2025-02-18 07:11:33,2025-02-18 11:05:33,234,135.34983069742992
277,2361,2,2025-11-21 02:16:34,2025-11-21 06:03:34,227,72.70825620101704
278,4727,3,2023-07-20 20:47:44,2023-07-21 00:48:44,241,177.89197344667576
279,4261,3,2023-09-12 12:57:27,2023-09-12 14:37:27,100,183.03173780228443
280,4527,7,2023-10-07 11:12:36,2023-10-07 15:50:36,278,62.62238812691916
281,4017,8,2023-09-29 23:24:56,2023-09-30 00:33:56,69,65.12095928057971
282,104,4,2024-07-25 12:58:30,2024-07-25 16:37:30,219,216.66219795025583
283,600,6,2025-10-07 12:32:21,2025-10-07 14:03:21,91,33.744708502122656
284,1645,1,2025-03-10 02:33:41,2025-03-10 06:44:41,251,169.51796647234966
285,1201,3,2024-10-12 08:28:54,2024-10-12 11:34:54,186,54.21167827704789
286,3190,8,2025-12-12 20:15:52,2025-12-12 20:52:52,37,129.3113628785719
287,4812,4,2024-03-09 20:11:16,2024-03-09 22:53:16,162,231.7918369260991
288,1269,2,2023-04-21 11:52:17,2023-04-21 15:10:17,198,65.47479993407734
289,668,6,2023-04-03 05:35:26,2023-04-03 10:08:26,273,38.453462027444715
290,4983,3,2023-12-13 02:02:09,2023-12-13 02:53:09,51,141.10488104377424
291,238,8,2024-10-05 03:24:10,2024-10-05 03:34:10,10,111.5122953029415
292,1118,1,2023-08-28 17:58:29,2023-08-28 21:59:29,241,247.08633990114737
293,4274,3,2023-04-26 02:05:24,2023-04-26 03:28:24,83,71.12837990259943
294,3917,3,2025-10-27 19:34:46,2025-10-28 00:11:46,277,226.47109750644088
295,4111,8,2025-03-10 09:02:46,2025-03-10 11:55:46,173,204.01928829222305
296,3477,3,2023-01-06 05:46:11,2023-01-06 08:43:11,177,107.08031026145566
297,1011,1,2024-07-17 19:44:50,2024-07-17 21:07:50,83,42.78223208410016
298,1278,5,2023-11-21 07:25:12,2023-11-21 09:50:12,145,52.17835114424264
299,907,6,2024-07-07 23:27:24,2024-07-08 03:55:24,268,241.3409329883422
300,4995,5,2023-11-03 19:18:53,2023-11-03 20:56:53,98,146.54242573843248
301,1640,1,2025-03-12 13:51:25,2025-03-12 16:55:25,184,167.12221698531883
302,151,6,2023-09-14 04:51:48,2023-09-14 07:41:48,170,91.12118426346785
303,3562,6,2023-08-02 10:25:07,2023-08-02 11:30:07,65,38.80327021086474
304,31,8,2024-08-14 05:35:17,2024-08-14 07:52:17,137,127.19700994824417
305,3691,3,2024-08-16 15:30:07,2024-08-16 20:15:07,285,157.35844385267103
306,2437,7,2025-11-04 09:08:05,2025-11-04 13:02:05,234,101.66484444327222
307,1407,7,2025-11-07 20:12:39,2025-11-07 20:37:39,25,53.25242056702457
308,2382,1,2023-03-10 08:31:50,2023-03-10 11:14:50,163,64.60714280338986
309,2848,5,2024-04-25 07:29:08,2024-04-25 11:47:08,258,151.8988395639489
310,412,2,2024-09-17 16:51:24,2024-09-17 19:43:24,172,165.3253308496856
311,4864,8,2024-01-18 12:37:12,2024-01-18 16:31:12,234,99.36368715933254
312,1808,5,2023-08-08 15:55:23,2023-08-08 19:27:23,212,93.06038304576393
313,2321,7,2024-06-18 14:35:37,2024-06-18 16:22:37,107,47.82149222480981
314,1042,8,2025-06-08 12:51:51,2025-06-08 15:32:51,161,167.47607158510945
315,4000,5,2024-08-18 10:25:39,2024-08-18 15:06:39,281,108.21165292817638
316,301,5,2024-03-18 09:16:51,2024-03-18 09:46:51,30,196.7837830957086
317,3381,7,2023-07-04 04:11:31,2023-07-04 07:42:31,211,189.0525354761755
318,1468,1,2023-02-20 13:40:38,2023-02-20 17:13:38,213,83.73469501974043
319,2017,6,2025-08-02 08:05:01,2025-08-02 08:31:01,26,209.92474149031463
320,3830,8,2025-12-17 11:03:36,2025-12-17 11:37:36,34,209.8658095859543
321,3244,6,2025-02-26 11:18:57,2025-02-26 13:11:57,113,71.92855307489765
322,770,5,2025-09-18 20:40:42,2025-09-18 21:56:42,76,244.0789368182023
323,2083,2,2025-01-01 17:18:28,2025-01-01 21:07:28,229,238.33425475051348
324,1531,1,2023-01-14 03:04:44,2023-01-14 06:05:44,181,118.27246355730104
