id_cliente,plano,valor_mensal,cidade,estado,status,data_adesao
35,Essencial,59.9,Souza,RJ,Churn,2026-01-13
36,Essencial,59.9,Camargo,AM,Ativo,2026-01-13
37,Premium,89.9,Duarte de Minas,AM,Churn,2026-01-13
38,Premium,89.9,Novais,GO,Ativo,2026-01-13
39,Essencial,59.9,Aparecida da Praia,ES,Ativo,2026-01-13
40,Premium,89.9,Albuquerque,PE,Ativo,2026-01-13
41,Essencial,59.9,Sousa,SC,Churn,2026-01-13
42,Basico,39.9,Fernandes Alegre,CE,Ativo,2026-01-13
43,Essencial,59.9,Novaes de Alves,RJ,Ativo,2026-01-13
44,Premium,89.9,Gomes,AP,Ativo,2026-01-13
45,Essencial,59.9,Fogaça,RS,Ativo,2026-01-13
46,Basico,39.9,Castro,DF,Ativo,2026-01-13
47,Premium,89.9,Cirino de Souza,PB,Ativo,2026-01-13
48,Essencial,59.9,Silva,MT,Ativo,2026-01-13
49,Essencial,59.9,Carvalho,MG,Ativo,2026-01-13
50,Basico,39.9,Duarte,AL,Ativo,2026-01-13
51,Premium,89.9,Pereira de Minas,AM,Ativo,2026-01-13
52,Essencial,59.9,Duarte das Pedras,PR,Ativo,2026-01-13
53,Basico,39.9,Sá Alegre,MA,Churn,2026-01-13
54,Basico,39.9,Alves do Sul,SE,Ativo,2026-01-13
55,Premium,89.9,Ramos de Garcia,MS,Ativo,2026-01-13
56,Basico,39.9,da Cunha da Serra,PB,Ativo,2026-01-13
57,Premium,89.9,Lopes de Minas,SC,Churn,2026-01-13
58,Basico,39.9,Pastor dos Dourados,PE,Ativo,2026-01-13
59,Basico,39.9,Barros,SP,Ativo,2026-01-13
60,Premium,89.9,Lima,MT,Ativo,2026-01-13
61,Premium,89.9,Nunes,SE,Ativo,2026-01-13
62,Premium,89.9,Nunes de Correia,RN,Ativo,2026-01-13
63,Basico,39.9,Nogueira do Norte,BA,Ativo,2026-01-13
64,Basico,39.9,Rios,DF,Ativo,2026-01-13
65,Premium,89.9,Ferreira,AL,Ativo,2026-01-13
66,Premium,89.9,Martins,PA,Churn,2026-01-13
67,Premium,89.9,Oliveira da Serra,MG,Ativo,2026-01-13
68,Essencial,59.9,Fonseca,GO,Ativo,2026-01-13
69,Basico,39.9,Novais,RS,Ativo,2026-01-13
70,Essencial,59.9,Camargo,MA,Churn,2026-01-13
71,Basico,39.9,Moraes do Oeste,PB,Ativo,2026-01-13
72,Essencial,59.9,Aparecida do Amparo,MA,Ativo,2026-01-13
73,Basico,39.9,Mendes do Campo,PR,Ativo,2026-01-13
74,Premium,89.9,Cardoso,DF,Ativo,2026-01-13
75,Basico,39.9,Lima do Sul,RJ,Ativo,2026-01-13
76,Basico,39.9,Marques,TO,Ativo,2026-01-13
77,Basico,39.9,Abreu,RN,Ativo,2026-01-13
78,Premium,89.9,Brito da Prata,AL,Ativo,2026-01-13
79,Essencial,59.9,Vasconcelos do Galho,MA,Ativo,2026-01-13
80,Basico,39.9,Carvalho,PA,Ativo,2026-01-13
81,Essencial,59.9,Correia de Ferreira,PA,Churn,2026-01-13
82,Premium,89.9,Leão do Amparo,PB,Ativo,2026-01-13
83,Essencial,59.9,Santos,SE,Ativo,2026-01-13
84,Premium,89.9,Rios,TO,Ativo,2026-01-13
85,Essencial,59.9,Vieira,AC,Ativo,2026-01-13
86,Premium,89.9,Caldeira de Almeida,DF,Ativo,2026-01-13
87,Basico,39.9,Cassiano Alegre,RS,Churn,2026-01-13
88,Essencial,59.9,Correia de Moura,PA,Churn,2026-01-13
89,Premium,89.9,Oliveira Grande,DF,Ativo,2026-01-13
90,Essencial,59.9,Araújo de Cirino,MG,Ativo,2026-01-13
91,Essencial,59.9,Silva,AC,Ativo,2026-01-13
92,Essencial,59.9,Costela,RS,Ativo,2026-01-13
93,Premium,89.9,Santos de Farias,DF,Ativo,2026-01-13
94,Essencial,59.9,Vargas de Goiás,PB,Ativo,2026-01-13
95,Premium,89.9,Cardoso de Goiás,PR,Ativo,2026-01-13
96,Basico,39.9,Lopes Alegre,PE,Ativo,2026-01-13
97,Basico,39.9,Campos,MG,Ativo,2026-01-13
98,Premium,89.9,Pereira do Amparo,PI,Ativo,2026-01-13
99,Essencial,59.9,Novaes,PI,Ativo,2026-01-13
100,Essencial,59.9,Sousa,MT,Churn,2026-01-13
101,Premium,89.9,Pacheco da Praia,AP,Ativo,2026-01-13
102,Essencial,59.9,Rodrigues,AL,Churn,2026-01-13
103,Premium,89.9,da Rocha,SE,Ativo,2026-01-13
104,Premium,89.9,Silva,RJ,Churn,2026-01-13
105,Essencial,59.9,Ribeiro,PR,Ativo,2026-01-13
106,Basico,39.9,Barbosa Paulista,SC,Ativo,2026-01-13
107,Premium,89.9,Lopes da Prata,ES,Ativo,2026-01-13
108,Premium,89.9,Costela da Prata,MA,Churn,2026-01-13
109,Basico,39.9,Caldeira da Praia,DF,Ativo,2026-01-13
110,Essencial,59.9,Barros,MA,Ativo,2026-01-13
111,Basico,39.9,Macedo,CE,Ativo,2026-01-13
112,Essencial,59.9,Pimenta do Amparo,ES,Ativo,2026-01-13
113,Essencial,59.9,da Mota de Brito,PB,Ativo,2026-01-13
114,Essencial,59.9,Silveira de Siqueira,RJ,Ativo,2026-01-13
115,Premium,89.9,Novais,PI,Ativo,2026-01-13
116,Essencial,59.9,Rocha,ES,Ativo,2026-01-13
117,Essencial,59.9,da Luz,ES,Churn,2026-01-13
118,Essencial,59.9,Alves de Aragão,MG,Ativo,2026-01-13
119,Basico,39.9,Melo de da Conceição,BA,Ativo,2026-01-13
120,Premium,89.9,Monteiro do Sul,PE,Ativo,2026-01-13
121,Premium,89.9,Duarte,RN,Ativo,2026-01-13
122,Premium,89.9,Vasconcelos,AL,Ativo,2026-01-13
123,Basico,39.9,Santos das Pedras,DF,Ativo,2026-01-13
124,Basico,39.9,da Mata,ES,Ativo,2026-01-13
125,Basico,39.9,Cardoso da Mata,AM,Ativo,2026-01-13
126,Premium,89.9,Pastor das Flores,MT,Ativo,2026-01-13
127,Basico,39.9,Cunha das Pedras,AL,Ativo,2026-01-13
128,Essencial,59.9,Nunes Verde,MA,Ativo,2026-01-13
129,Premium,89.9,da Mota do Oeste,ES,Ativo,2026-01-13
130,Essencial,59.9,Melo,PE,Ativo,2026-01-13
131,Essencial,59.9,Mendes,SC,Ativo,2026-01-13
132,Premium,89.9,Pastor de Camargo,MS,Ativo,2026-01-13
133,Premium,89.9,Borges dos Dourados,RO,Ativo,2026-01-13
134,Basico,39.9,da Cunha Paulista,MS,Ativo,2026-01-13
135,Essencial,59.9,Gomes,CE,Ativo,2026-01-13
136,Premium,89.9,da Rocha,MA,Ativo,2026-01-13
137,Premium,89.9,Cunha,CE,Churn,2026-01-13
138,Premium,89.9,Cardoso,CE,Ativo,2026-01-13
139,Premium,89.9,Vasconcelos,RO,Ativo,2026-01-13
140,Premium,89.9,Viana de da Rosa,PR,Churn,2026-01-13
141,Essencial,59.9,Melo,AP,Ativo,2026-01-13
142,Basico,39.9,da Mata,GO,Ativo,2026-01-13
143,Basico,39.9,Gomes das Pedras,DF,Ativo,2026-01-13
144,Basico,39.9,Novais Paulista,RO,Ativo,2026-01-13
145,Premium,89.9,Viana Paulista,SC,Ativo,2026-01-13
146,Essencial,59.9,Cirino de Fernandes,AM,Ativo,2026-01-13
147,Premium,89.9,Azevedo do Amparo,SC,Ativo,2026-01-13
148,Basico,39.9,Rios,SP,Ativo,2026-01-13
149,Basico,39.9,Lopes,AP,Ativo,2026-01-13
150,Basico,39.9,Barbosa de da Costa,MA,Ativo,2026-01-13
151,Basico,39.9,Vieira,MA,Ativo,2026-01-13
152,Essencial,59.9,Cunha,AM,Churn,2026-01-13
153,Basico,39.9,Ramos,MA,Ativo,2026-01-13
154,Premium,89.9,Sales,MS,Ativo,2026-01-13
155,Basico,39.9,Caldeira,RJ,Ativo,2026-01-13
156,Basico,39.9,Moreira,CE,Ativo,2026-01-13
157,Basico,39.9,da Mota,PE,Ativo,2026-01-13
158,Premium,89.9,Leão da Mata,PE,Ativo,2026-01-13
159,Essencial,59.9,Peixoto de Aragão,SC,Ativo,2026-01-13
160,Essencial,59.9,Andrade,RO,Ativo,2026-01-13
161,Basico,39.9,Aragão,PB,Ativo,2026-01-13
162,Premium,89.9,Oliveira de Melo,RO,Ativo,2026-01-13
163,Premium,89.9,Aragão do Galho,SE,Churn,2026-01-13
164,Premium,89.9,Lopes,DF,Churn,2026-01-13
165,Essencial,59.9,Porto Verde,CE,Ativo,2026-01-13
166,Basico,39.9,Vargas,AC,Ativo,2026-01-13
167,Premium,89.9,Novais Alegre,SC,Ativo,2026-01-13
168,Premium,89.9,Peixoto do Galho,AC,Churn,2026-01-13
169,Essencial,59.9,Nunes,MT,Churn,2026-01-13
170,Essencial,59.9,Monteiro,PA,Ativo,2026-01-13
171,Premium,89.9,Barros,PA,Ativo,2026-01-13
172,Premium,89.9,Siqueira,AM,Churn,2026-01-13
173,Premium,89.9,Fogaça do Oeste,MT,Ativo,2026-01-13
174,Essencial,59.9,Ferreira de Santos,MG,Ativo,2026-01-13
175,Essencial,59.9,Cunha da Serra,DF,Ativo,2026-01-13
176,Essencial,59.9,Guerra,MG,Churn,2026-01-13
177,Basico,39.9,da Cunha,GO,Ativo,2026-01-13
178,Essencial,59.9,Cunha do Galho,DF,Ativo,2026-01-13
179,Essencial,59.9,da Rosa de Andrade,CE,Churn,2026-01-13
180,Basico,39.9,Cardoso,PB,Ativo,2026-01-13
181,Essencial,59.9,Viana,MG,Ativo,2026-01-13
182,Basico,39.9,Novais,PR,Ativo,2026-01-13
183,Essencial,59.9,Porto,PR,Churn,2026-01-13
184,Essencial,59.9,Albuquerque da Mata,AP,Ativo,2026-01-13
185,Basico,39.9,Vasconcelos de Leão,MA,Ativo,2026-01-13
186,Essencial,59.9,Nascimento,SE,Ativo,2026-01-13
187,Basico,39.9,Santos da Serra,TO,Ativo,2026-01-13
188,Essencial,59.9,Cavalcanti,PB,Ativo,2026-01-13
189,Basico,39.9,Moraes do Galho,RN,Churn,2026-01-13
190,Premium,89.9,Souza,TO,Ativo,2026-01-13
191,Premium,89.9,Viana do Campo,TO,Ativo,2026-01-13
192,Premium,89.9,Abreu Grande,PI,Ativo,2026-01-13
193,Essencial,59.9,Guerra das Pedras,RS,Churn,2026-01-13
194,Essencial,59.9,Oliveira,AM,Ativo,2026-01-13
195,Essencial,59.9,Jesus,PE,Churn,2026-01-13
196,Essencial,59.9,Rocha da Praia,MG,Ativo,2026-01-13
197,Premium,89.9,Nogueira,MS,Ativo,2026-01-13
198,Essencial,59.9,Marques do Galho,MA,Ativo,2026-01-13
199,Essencial,59.9,Moreira Grande,RS,Ativo,2026-01-13
200,Premium,89.9,Rodrigues da Praia,MA,Ativo,2026-01-13
201,Basico,39.9,Aparecida,RO,Ativo,2026-01-13
202,Essencial,59.9,Macedo da Mata,TO,Ativo,2026-01-13
203,Basico,39.9,Rezende de Nunes,AM,Ativo,2026-01-13
204,Premium,89.9,Sousa de Guerra,AL,Ativo,2026-01-13
205,Premium,89.9,Moraes,ES,Ativo,2026-01-13
206,Premium,89.9,Barros,SP,Ativo,2026-01-13
207,Basico,39.9,Abreu da Mata,SE,Ativo,2026-01-13
208,Premium,89.9,Rodrigues do Sul,GO,Ativo,2026-01-13
209,Essencial,59.9,Viana de Pacheco,BA,Churn,2026-01-13
210,Essencial,59.9,Silva da Prata,PE,Ativo,2026-01-13
211,Basico,39.9,Correia de Minas,MS,Ativo,2026-01-13
212,Essencial,59.9,Lima das Pedras,PA,Ativo,2026-01-13
213,Basico,39.9,Viana,DF,Ativo,2026-01-13
214,Premium,89.9,Nogueira Paulista,GO,Ativo,2026-01-13
215,Essencial,59.9,Melo da Mata,AP,Churn,2026-01-13
216,Essencial,59.9,da Paz Alegre,SC,Ativo,2026-01-13
217,Premium,89.9,Rodrigues do Galho,SP,Ativo,2026-01-13
218,Premium,89.9,Almeida de Duarte,PE,Churn,2026-01-13
219,Basico,39.9,Fogaça,MS,Ativo,2026-01-13
220,Essencial,59.9,Macedo do Campo,PI,Ativo,2026-01-13
221,Premium,89.9,Borges,AM,Ativo,2026-01-13
222,Basico,39.9,Almeida do Amparo,GO,Ativo,2026-01-13
223,Premium,89.9,Ramos,CE,Ativo,2026-01-13
224,Premium,89.9,Melo do Oeste,GO,Churn,2026-01-13
225,Basico,39.9,Dias das Pedras,RS,Ativo,2026-01-13
226,Basico,39.9,Almeida de Mendonça,RJ,Ativo,2026-01-13
227,Basico,39.9,Ferreira de Novaes,PI,Ativo,2026-01-13
228,Basico,39.9,Novais de Goiás,PB,Ativo,2026-01-13
229,Premium,89.9,Andrade,SC,Ativo,2026-01-13
230,Essencial,59.9,Sales,PE,Ativo,2026-01-13
231,Essencial,59.9,Sousa de Macedo,AL,Churn,2026-01-13
232,Premium,89.9,Peixoto,AP,Ativo,2026-01-13
233,Essencial,59.9,Ferreira Paulista,RS,Ativo,2026-01-13
234,Essencial,59.9,Rios de Abreu,AL,Ativo,2026-01-13
235,Basico,39.9,Fogaça do Amparo,AM,Ativo,2026-01-13
236,Basico,39.9,Barbosa,MT,Ativo,2026-01-13
237,Basico,39.9,Vargas Paulista,PR,Ativo,2026-01-13
238,Essencial,59.9,Campos,RN,Ativo,2026-01-13
239,Premium,89.9,Melo,MT,Ativo,2026-01-13
240,Basico,39.9,Lopes,SC,Ativo,2026-01-13
241,Essencial,59.9,Moreira,RS,Churn,2026-01-13
242,Premium,89.9,Rios,ES,Ativo,2026-01-13
243,Essencial,59.9,Fogaça,PB,Ativo,2026-01-13
244,Essencial,59.9,Azevedo,PI,Ativo,2026-01-13
245,Essencial,59.9,Melo da Serra,ES,Ativo,2026-01-13
246,Essencial,59.9,Vargas de Viana,SE,Ativo,2026-01-13
247,Essencial,59.9,Moura,PA,Churn,2026-01-13
248,Essencial,59.9,Jesus,AM,Ativo,2026-01-13
249,Basico,39.9,Viana,SC,Ativo,2026-01-13
250,Essencial,59.9,Novais da Prata,SC,Ativo,2026-01-13
251,Basico,39.9,Cunha,CE,Ativo,2026-01-13
252,Premium,89.9,Montenegro,PA,Ativo,2026-01-13
253,Essencial,59.9,Silva,TO,Ativo,2026-01-13
254,Basico,39.9,Pires de Sousa,GO,Ativo,2026-01-13
255,Premium,89.9,Teixeira,PE,Ativo,2026-01-13
256,Basico,39.9,Carvalho Paulista,RS,Ativo,2026-01-13
257,Essencial,59.9,da Luz,RJ,Ativo,2026-01-13
258,Premium,89.9,Cavalcanti de Montenegro,AP,Ativo,2026-01-13
259,Basico,39.9,Cassiano,PA,Ativo,2026-01-13
260,Essencial,59.9,Viana,RS,Ativo,2026-01-13
261,Premium,89.9,Cassiano das Flores,RJ,Ativo,2026-01-13
262,Essencial,59.9,Cavalcanti do Galho,PE,Churn,2026-01-13
263,Basico,39.9,Moreira do Oeste,RS,Ativo,2026-01-13
264,Basico,39.9,Vargas,PR,Ativo,2026-01-13
265,Basico,39.9,Rios das Pedras,AM,Churn,2026-01-13
266,Basico,39.9,Andrade,MT,Ativo,2026-01-13
267,Premium,89.9,Correia,AM,Churn,2026-01-13
268,Essencial,59.9,Martins,CE,Ativo,2026-01-13
269,Premium,89.9,da Mata,MS,Ativo,2026-01-13
270,Essencial,59.9,Melo do Galho,RS,Churn,2026-01-13
271,Essencial,59.9,Sampaio do Galho,SE,Ativo,2026-01-13
272,Essencial,59.9,Aragão do Sul,RJ,Ativo,2026-01-13
273,Basico,39.9,Pacheco de Aparecida,CE,Churn,2026-01-13
274,Basico,39.9,Cunha do Amparo,RN,Ativo,2026-01-13
275,Premium,89.9,Pinto dos Dourados,PB,Ativo,2026-01-13
276,Essencial,59.9,Teixeira da Serra,RS,Ativo,2026-01-13
277,Premium,89.9,Costela,CE,Ativo,2026-01-13
278,Premium,89.9,da Luz de Goiás,SC,Ativo,2026-01-13
279,Basico,39.9,Costela das Pedras,PR,Ativo,2026-01-13
280,Essencial,59.9,Peixoto do Sul,RJ,Churn,2026-01-13
281,Basico,39.9,Aparecida,AM,Ativo,2026-01-13
282,Basico,39.9,Teixeira do Sul,PB,Ativo,2026-01-13
283,Essencial,59.9,Silveira,PR,Ativo,2026-01-13
284,Premium,89.9,Machado de Cirino,GO,Ativo,2026-01-13
285,Basico,39.9,Ramos do Amparo,MS,Churn,2026-01-13
286,Basico,39.9,Câmara,AP,Churn,2026-01-13
287,Premium,89.9,Pastor de da Cruz,GO,Ativo,2026-01-13
288,Essencial,59.9,Cassiano do Campo,PA,Ativo,2026-01-13
289,Basico,39.9,Souza Alegre,CE,Ativo,2026-01-13
290,Essencial,59.9,Guerra de Goiás,RR,Ativo,2026-01-13
291,Basico,39.9,Silva de Goiás,MS,Ativo,2026-01-13
292,Basico,39.9,Barros,GO,Ativo,2026-01-13
293,Basico,39.9,Peixoto do Campo,RR,Ativo,2026-01-13
294,Premium,89.9,Rocha de da Cunha,DF,Ativo,2026-01-13
295,Essencial,59.9,da Mota dos Dourados,GO,Ativo,2026-01-13
296,Essencial,59.9,Barros dos Dourados,RJ,Ativo,2026-01-13
297,Premium,89.9,da Luz Grande,PE,Ativo,2026-01-13
298,Premium,89.9,Garcia,GO,Ativo,2026-01-13
299,Essencial,59.9,Aparecida do Norte,MS,Ativo,2026-01-13
300,Premium,89.9,Pires de Machado,PI,Ativo,2026-01-13
301,Essencial,59.9,da Rosa de Rodrigues,SP,Ativo,2026-01-13
302,Premium,89.9,Câmara do Sul,PI,Ativo,2026-01-13
303,Essencial,59.9,Almeida da Prata,MA,Ativo,2026-01-13
304,Premium,89.9,Santos da Serra,MA,Churn,2026-01-13
305,Premium,89.9,Teixeira do Galho,GO,Ativo,2026-01-13
306,Basico,39.9,Machado da Praia,MA,Churn,2026-01-13
307,Premium,89.9,Guerra,RO,Ativo,2026-01-13
308,Premium,89.9,Cassiano de Goiás,MS,Churn,2026-01-13
309,Essencial,59.9,Borges,PA,Ativo,2026-01-13
310,Essencial,59.9,da Cruz,MA,Ativo,2026-01-13
311,Essencial,59.9,Vasconcelos de Peixoto,PA,Ativo,2026-01-13
312,Basico,39.9,Silveira de Caldeira,MG,Ativo,2026-01-13
313,Basico,39.9,Lopes da Mata,AL,Ativo,2026-01-13
314,Essencial,59.9,Vasconcelos do Campo,PR,Ativo,2026-01-13
315,Essencial,59.9,Lopes da Praia,AL,Churn,2026-01-13
316,Premium,89.9,Ferreira dos Dourados,SC,Churn,2026-01-13
317,Essencial,59.9,Moura da Serra,MG,Ativo,2026-01-13
318,Premium,89.9,Alves,PA,Ativo,2026-01-13
319,Basico,39.9,Guerra das Flores,MA,Ativo,2026-01-13
320,Premium,89.9,Silva das Flores,PR,Ativo,2026-01-13
321,Basico,39.9,Marques,RO,Ativo,2026-01-13
322,Essencial,59.9,Pimenta dos Dourados,RR,Ativo,2026-01-13
323,Basico,39.9,Caldeira,GO,Ativo,2026-01-13
324,Basico,39.9,Costela,MG,Ativo,2026-01-13
325,Basico,39.9,Rocha,SP,Churn,2026-01-13
326,Premium,89.9,Monteiro de Albuquerque,SP,Ativo,2026-01-13
327,Premium,89.9,Farias,SP,Ativo,2026-01-13
328,Premium,89.9,Freitas,RJ,Ativo,2026-01-13
329,Essencial,59.9,Leão do Sul,RJ,Ativo,2026-01-13
330,Basico,39.9,Gonçalves da Serra,PE,Ativo,2026-01-13
331,Basico,39.9,Pires,MG,Ativo,2026-01-13
332,Basico,39.9,da Cruz Alegre,ES,Ativo,2026-01-13
333,Basico,39.9,Jesus,RN,Ativo,2026-01-13
334,Essencial,59.9,Fernandes de Mendonça,TO,Ativo,2026-01-13
335,Essencial,59.9,Camargo da Mata,SP,Ativo,2026-01-13
336,Basico,39.9,Viana de Freitas,MS,Ativo,2026-01-13
337,Basico,39.9,Montenegro,PI,Ativo,2026-01-13
338,Premium,89.9,Souza da Mata,AP,Ativo,2026-01-13
339,Premium,89.9,Vasconcelos de Cirino,AM,Ativo,2026-01-13
340,Premium,89.9,Cavalcante,BA,Ativo,2026-01-13
341,Premium,89.9,Machado da Prata,SC,Ativo,2026-01-13
342,Premium,89.9,Peixoto do Norte,GO,Ativo,2026-01-13
343,Basico,39.9,Rocha do Oeste,RR,Ativo,2026-01-13
344,Premium,89.9,Peixoto,PI,Ativo,2026-01-13
345,Basico,39.9,Guerra de Borges,PA,Ativo,2026-01-13
346,Essencial,59.9,Silveira dos Dourados,PR,Ativo,2026-01-13
347,Essencial,59.9,Nascimento,PR,Ativo,2026-01-13
348,Essencial,59.9,da Luz,PE,Ativo,2026-01-13
349,Essencial,59.9,Garcia,AC,Ativo,2026-01-13
350,Basico,39.9,Brito do Oeste,CE,Ativo,2026-01-13
351,Essencial,59.9,Sales do Sul,ES,Ativo,2026-01-13
352,Basico,39.9,da Cruz de Brito,RN,Ativo,2026-01-13
353,Basico,39.9,Monteiro das Flores,MS,Ativo,2026-01-13
354,Premium,89.9,Albuquerque de Sá,DF,Ativo,2026-01-13
355,Essencial,59.9,Carvalho de Nascimento,SC,Ativo,2026-01-13
356,Basico,39.9,da Mota,PR,Churn,2026-01-13
357,Premium,89.9,Aragão de Minas,BA,Ativo,2026-01-13
358,Essencial,59.9,da Rocha Paulista,PI,Ativo,2026-01-13
359,Essencial,59.9,Sampaio do Oeste,MA,Ativo,2026-01-13
360,Essencial,59.9,Pacheco de Pires,RJ,Ativo,2026-01-13
361,Essencial,59.9,Nogueira de Minas,PR,Ativo,2026-01-13
362,Premium,89.9,da Paz de da Paz,MG,Ativo,2026-01-13
363,Essencial,59.9,Pinto de Caldeira,MT,Ativo,2026-01-13
364,Basico,39.9,Fernandes,SE,Ativo,2026-01-13
365,Premium,89.9,Teixeira,AP,Churn,2026-01-13
366,Basico,39.9,Barros,SE,Ativo,2026-01-13
367,Essencial,59.9,Porto,PB,Ativo,2026-01-13
368,Premium,89.9,Vieira,GO,Churn,2026-01-13
369,Premium,89.9,Silveira de Cavalcanti,MS,Churn,2026-01-13
370,Premium,89.9,Cavalcanti do Oeste,AP,Ativo,2026-01-13
371,Basico,39.9,Cassiano das Flores,MG,Churn,2026-01-13
372,Basico,39.9,Dias,RN,Ativo,2026-01-13
373,Basico,39.9,Ferreira,ES,Ativo,2026-01-13
374,Essencial,59.9,Sampaio,PB,Ativo,2026-01-13
375,Essencial,59.9,Duarte,BA,Churn,2026-01-13
376,Premium,89.9,Pires,MG,Ativo,2026-01-13
377,Premium,89.9,Ramos de da Rocha,TO,Ativo,2026-01-13
378,Basico,39.9,Rezende,SE,Churn,2026-01-13
379,Premium,89.9,Souza,AL,Ativo,2026-01-13
380,Basico,39.9,Freitas,BA,Ativo,2026-01-13
381,Premium,89.9,da Mata,PB,Ativo,2026-01-13
382,Basico,39.9,Fogaça,SP,Churn,2026-01-13
383,Basico,39.9,Casa Grande,RO,Ativo,2026-01-13
384,Premium,89.9,Rodrigues da Praia,CE,Ativo,2026-01-13
385,Basico,39.9,Nogueira,DF,Ativo,2026-01-13
386,Basico,39.9,Abreu do Galho,GO,Ativo,2026-01-13
387,Essencial,59.9,Marques,MT,Ativo,2026-01-13
388,Premium,89.9,Carvalho,AC,Ativo,2026-01-13
389,Premium,89.9,Porto,RO,Ativo,2026-01-13
390,Essencial,59.9,Mendonça Paulista,MS,Ativo,2026-01-13
391,Essencial,59.9,Aragão,DF,Ativo,2026-01-13
392,Basico,39.9,Nogueira do Norte,SE,Ativo,2026-01-13
393,Basico,39.9,da Mata,RN,Churn,2026-01-13
394,Essencial,59.9,Aragão da Prata,AC,Ativo,2026-01-13
395,Essencial,59.9,Pastor,PA,Ativo,2026-01-13
396,Basico,39.9,Garcia,SC,Ativo,2026-01-13
397,Premium,89.9,Azevedo dos Dourados,PE,Ativo,2026-01-13
398,Essencial,59.9,Silva de da Paz,PA,Ativo,2026-01-13
399,Essencial,59.9,Silveira,RJ,Ativo,2026-01-13
400,Premium,89.9,Marques,SC,Ativo,2026-01-13
401,Essencial,59.9,da Costa,PA,Ativo,2026-01-13
402,Essencial,59.9,Ramos,MS,Ativo,2026-01-13
403,Premium,89.9,das Neves dos Dourados,MT,Ativo,2026-01-13
404,Basico,39.9,Fogaça,DF,Ativo,2026-01-13
405,Basico,39.9,da Cruz da Praia,TO,Ativo,2026-01-13
406,Basico,39.9,Caldeira,ES,Ativo,2026-01-13
407,Premium,89.9,Montenegro,TO,Ativo,2026-01-13
408,Essencial,59.9,Moraes,RR,Ativo,2026-01-13
409,Premium,89.9,Fonseca da Praia,PA,Churn,2026-01-13
410,Basico,39.9,Leão,SE,Ativo,2026-01-13
411,Essencial,59.9,Teixeira do Campo,MS,Ativo,2026-01-13
412,Essencial,59.9,Peixoto de Minas,SE,Churn,2026-01-13
413,Essencial,59.9,Vieira,MA,Ativo,2026-01-13
414,Essencial,59.9,Porto de Barbosa,PI,Ativo,2026-01-13
415,Premium,89.9,da Mata,MS,Ativo,2026-01-13
416,Essencial,59.9,Silva da Praia,PR,Churn,2026-01-13
417,Premium,89.9,Moraes do Sul,RO,Ativo,2026-01-13
418,Premium,89.9,Siqueira do Galho,MS,Ativo,2026-01-13
419,Essencial,59.9,da Rocha,RJ,Ativo,2026-01-13
420,Essencial,59.9,Albuquerque,SE,Ativo,2026-01-13
421,Essencial,59.9,Pereira,AP,Ativo,2026-01-13
422,Premium,89.9,Marques,AM,Churn,2026-01-13
423,Essencial,59.9,Guerra,MT,Ativo,2026-01-13
424,Basico,39.9,da Luz,MG,Ativo,2026-01-13
425,Essencial,59.9,Moraes das Pedras,RR,Ativo,2026-01-13
