id_atendimento,id_cliente,id_servico,data_abertura,data_fechamento,tempo_atendimento_min,custo_real,sla_real_min,ano,mes,plano,categoria
16,1726,6,2023-06-29 01:37:46,2023-06-29 04:06:46,149,185.9014839807005,149.0,2023,6,Premium,Pet
17,4490,6,2024-11-01 04:42:50,2024-11-01 09:10:50,268,226.5480144979552,268.0,2024,11,Essencial,Pet
18,3048,4,2023-10-06 08:36:05,2023-10-06 08:54:05,18,236.12221072275236,18.0,2023,10,Premium,Saúde
19,1701,1,2024-10-15 02:53:51,2024-10-15 05:53:51,180,84.91818118653018,180.0,2024,10,Premium,Residencial
20,1790,5,2023-06-13 16:12:13,2023-06-13 18:40:13,148,141.1866670508387,148.0,2023,6,Premium,Benefícios
21,4187,6,2025-01-14 16:05:10,2025-01-14 16:47:10,42,93.06907434026944,42.0,2025,1,Basico,Pet
22,4071,7,2024-01-19 01:43:13,2024-01-19 04:49:13,186,219.67485421454813,186.0,2024,1,Premium,Seguro
23,4287,5,2025-03-04 16:17:08,2025-03-04 19:29:08,192,90.58940305037916,192.0,2025,3,Premium,Benefícios
24,4951,3,2023-12-22 13:55:33,2023-12-22 15:15:33,80,146.71376000703378,80.0,2023,12,Essencial,Saúde
25,4101,4,2025-02-11 20:50:44,2025-02-11 23:18:44,148,142.62479515146725,148.0,2025,2,Basico,Saúde
26,4217,1,2025-03-23 19:48:19,2025-03-23 23:56:19,248,150.12707659782762,248.0,2025,3,Basico,Residencial
27,3642,1,2024-04-30 14:17:00,2024-04-30 15:35:00,78,174.43846977792882,78.0,2024,4,Premium,Residencial
28,3719,6,2024-11-09 07:12:59,2024-11-09 07:30:59,18,109.40083842386848,18.0,2024,11,Premium,Pet
29,3744,3,2025-03-09 22:14:19,2025-03-09 23:35:19,81,200.4784478545973,81.0,2025,3,Premium,Saúde
30,3317,6,2023-01-13 10:16:45,2023-01-13 11:58:45,102,211.7157752708254,102.0,2023,1,Basico,Pet
31,982,3,2024-12-03 16:53:05,2024-12-03 17:46:05,53,203.73461898065923,53.0,2024,12,Premium,Saúde
32,4786,1,2025-02-17 00:54:35,2025-02-17 05:52:35,298,191.1659953086881,298.0,2025,2,Essencial,Residencial
33,2387,5,2023-10-31 02:51:34,2023-10-31 05:08:34,137,128.2002826170828,137.0,2023,10,Premium,Benefícios
34,2856,1,2024-03-29 07:15:06,2024-03-29 10:22:06,187,96.74740592850893,187.0,2024,3,Premium,Residencial
35,3496,7,2025-01-11 05:03:18,2025-01-11 05:21:18,18,244.96992872620885,18.0,2025,1,Premium,Seguro
36,1650,8,2025-12-28 14:17:59,2025-12-28 16:15:59,118,214.22861132686776,118.0,2025,12,Essencial,Jurídico
37,2862,4,2024-02-10 01:47:04,2024-02-10 05:10:04,203,115.31862807855305,203.0,2024,2,Premium,Saúde
38,657,1,2025-10-23 14:46:56,2025-10-23 15:39:56,53,64.87973275599785,53.0,2025,10,Premium,Residencial
39,215,1,2024-02-27 17:37:00,2024-02-27 19:57:00,140,95.75342407271704,140.0,2024,2,Essencial,Residencial
40,639,4,2023-05-29 10:33:17,2023-05-29 12:40:17,127,243.12062185267823,127.0,2023,5,Basico,Saúde
41,4131,2,2023-08-22 23:16:42,2023-08-23 03:31:42,255,191.8732291584719,255.0,2023,8,Basico,Automotivo
42,3831,2,2024-03-30 14:07:24,2024-03-30 16:57:24,170,144.35766949209815,170.0,2024,3,Premium,Automotivo
43,2371,6,2025-12-18 01:20:23,2025-12-18 03:33:23,133,73.42151998762839,133.0,2025,12,Premium,Pet
44,687,8,2024-11-27 21:51:46,2024-11-28 02:03:46,252,214.705914534494,252.0,2024,11,Premium,Jurídico
45,3756,5,2025-04-09 05:20:01,2025-04-09 09:09:01,229,130.09398444843916,229.0,2025,4,Basico,Benefícios
46,3252,2,2023-11-02 08:46:28,2023-11-02 10:57:28,131,182.94042026766883,131.0,2023,11,Premium,Automotivo
47,592,8,2024-07-02 16:44:32,2024-07-02 18:40:32,116,198.139148353086,116.0,2024,7,Premium,Jurídico
48,553,6,2023-07-22 19:01:06,2023-07-22 22:40:06,219,71.46823239344226,219.0,2023,7,Essencial,Pet
49,2105,4,2025-01-17 14:36:38,2025-01-17 17:12:38,156,116.85604883841214,156.0,2025,1,Basico,Saúde
50,2323,8,2024-11-09 16:33:51,2024-11-09 16:48:51,15,62.019442504079805,15.0,2024,11,Essencial,Jurídico
51,2418,3,2023-01-28 20:45:40,2023-01-29 00:26:40,221,78.43638788147888,221.0,2023,1,Premium,Saúde
52,1392,4,2024-08-09 11:53:20,2024-08-09 14:08:20,135,87.42257227510754,135.0,2024,8,Essencial,Saúde
53,1199,7,2023-08-28 19:33:04,2023-08-29 00:02:04,269,142.9958106804827,269.0,2023,8,Premium,Seguro
54,4925,2,2025-04-30 08:14:58,2025-04-30 08:27:58,13,120.23491294426128,13.0,2025,4,Essencial,Automotivo
55,2261,5,2024-12-29 14:17:42,2024-12-29 16:26:42,129,245.03217238638015,129.0,2024,12,Premium,Benefícios
56,48,3,2024-09-19 03:06:53,2024-09-19 04:17:53,71,222.32840107756292,71.0,2024,9,Essencial,Saúde
57,655,7,2023-06-17 07:42:34,2023-06-17 08:17:34,35,128.3342570828593,35.0,2023,6,Essencial,Seguro
58,2922,6,2024-02-26 17:51:09,2024-02-26 20:45:09,174,34.41366001569731,174.0,2024,2,Essencial,Pet
59,526,6,2025-12-06 03:07:11,2025-12-06 05:13:11,126,42.12275251258774,126.0,2025,12,Premium,Pet
60,2743,5,2025-11-12 17:25:05,2025-11-12 20:04:05,159,147.21391047310624,159.0,2025,11,Basico,Benefícios
61,4075,1,2024-06-25 23:18:29,2024-06-26 02:37:29,199,242.6669079747813,199.0,2024,6,Essencial,Residencial
62,4507,8,2023-11-24 11:30:45,2023-11-24 13:13:45,103,137.6274220362332,103.0,2023,11,Premium,Jurídico
63,695,5,2025-12-26 06:06:49,2025-12-26 06:52:49,46,65.32477039892353,46.0,2025,12,Essencial,Benefícios
64,3800,6,2025-01-02 18:50:21,2025-01-02 21:58:21,188,179.8870309860887,188.0,2025,1,Premium,Pet
65,4365,4,2023-08-22 12:55:27,2023-08-22 17:16:27,261,176.8742931088593,261.0,2023,8,Basico,Saúde
66,4336,1,2024-05-13 00:06:33,2024-05-13 02:44:33,158,184.66745206818013,158.0,2024,5,Basico,Residencial
67,4893,7,2023-07-24 23:09:15,2023-07-25 02:52:15,223,82.20869641604162,223.0,2023,7,Basico,Seguro
68,2840,1,2023-12-09 11:42:49,2023-12-09 15:48:49,246,71.35990700179244,246.0,2023,12,Basico,Residencial
69,4046,1,2023-07-25 09:11:56,2023-07-25 11:24:56,133,95.22953720689328,133.0,2023,7,Essencial,Residencial
70,902,5,2024-02-26 09:34:18,2024-02-26 10:37:18,63,247.97214121688737,63.0,2024,2,Basico,Benefícios
71,2081,7,2024-10-30 21:20:54,2024-10-30 22:48:54,88,179.9495631781378,88.0,2024,10,Basico,Seguro
72,4907,5,2025-06-14 07:09:31,2025-06-14 09:44:31,155,237.0547203509861,155.0,2025,6,Premium,Benefícios
73,3806,7,2023-03-25 14:49:08,2023-03-25 17:45:08,176,68.07101123828824,176.0,2023,3,Essencial,Seguro
74,4262,7,2023-06-15 18:21:36,2023-06-15 20:16:36,115,70.10947412299217,115.0,2023,6,Basico,Seguro
75,2674,6,2025-03-27 17:39:33,2025-03-27 18:36:33,57,95.18211529118418,57.0,2025,3,Premium,Pet
76,587,4,2023-12-11 20:36:27,2023-12-12 01:19:27,283,73.59255997261528,283.0,2023,12,Essencial,Saúde
77,2256,5,2023-10-25 19:49:51,2023-10-26 00:14:51,265,200.67586064111887,265.0,2023,10,Essencial,Benefícios
78,1798,2,2024-02-04 07:41:05,2024-02-04 12:01:05,260,182.61676345436464,260.0,2024,2,Basico,Automotivo
79,1592,7,2023-10-19 09:35:01,2023-10-19 14:23:01,288,233.23447410964212,288.0,2023,10,Basico,Seguro
80,3848,3,2023-10-19 19:42:07,2023-10-19 22:14:07,152,36.947427671898765,152.0,2023,10,Basico,Saúde
81,2459,5,2023-05-09 10:39:06,2023-05-09 12:01:06,82,122.5323688380754,82.0,2023,5,Basico,Benefícios
82,4977,3,2023-01-12 21:32:00,2023-01-12 22:27:00,55,52.48412592074019,55.0,2023,1,Basico,Saúde
83,1023,2,2024-11-07 12:06:46,2024-11-07 16:20:46,254,229.5385591081884,254.0,2024,11,Basico,Automotivo
84,3614,6,2025-03-04 04:55:48,2025-03-04 07:01:48,126,186.6658482921433,126.0,2025,3,Premium,Pet
85,3766,6,2024-09-06 05:37:44,2024-09-06 07:15:44,98,146.1497604303895,98.0,2024,9,Basico,Pet
86,1423,5,2025-12-03 01:55:35,2025-12-03 06:09:35,254,34.91149815060634,254.0,2025,12,Premium,Benefícios
87,4997,2,2023-09-22 04:58:38,2023-09-22 08:04:38,186,236.76224339432224,186.0,2023,9,Premium,Automotivo
88,954,5,2025-05-04 18:35:16,2025-05-04 19:57:16,82,36.83879156427504,82.0,2025,5,Essencial,Benefícios
89,2460,5,2025-02-19 06:58:11,2025-02-19 08:22:11,84,60.2007849029883,84.0,2025,2,Basico,Benefícios
90,1124,7,2023-10-25 22:51:40,2023-10-26 03:18:40,267,69.2399630093038,267.0,2023,10,Premium,Seguro
91,1177,1,2024-09-23 11:17:44,2024-09-23 12:35:44,78,91.18526047832664,78.0,2024,9,Premium,Residencial
92,3468,6,2023-05-05 03:22:23,2023-05-05 08:07:23,285,143.29568663799273,285.0,2023,5,Basico,Pet
93,3805,4,2025-10-05 14:09:20,2025-10-05 15:30:20,81,134.21396208222194,81.0,2025,10,Essencial,Saúde
94,3003,6,2025-12-03 17:57:17,2025-12-03 22:57:17,300,77.988422552951,300.0,2025,12,Basico,Pet
95,2985,7,2024-01-04 19:09:02,2024-01-04 22:50:02,221,180.6352223561781,221.0,2024,1,Basico,Seguro
96,2252,2,2024-08-31 19:44:39,2024-08-31 22:35:39,171,190.2932595793957,171.0,2024,8,Premium,Automotivo
97,1617,8,2025-04-06 12:05:02,2025-04-06 13:27:02,82,211.7529361601652,82.0,2025,4,Basico,Jurídico
98,2579,1,2024-10-10 14:24:02,2024-10-10 18:35:02,251,148.2232268294615,251.0,2024,10,Premium,Residencial
99,2547,6,2025-08-14 15:27:28,2025-08-14 17:17:28,110,111.554588500779,110.0,2025,8,Premium,Pet
100,357,2,2024-03-25 08:18:08,2024-03-25 09:14:08,56,72.35448385976942,56.0,2024,3,Premium,Automotivo
101,1531,1,2024-07-12 17:51:34,2024-07-12 20:35:34,164,134.53257810912214,164.0,2024,7,Essencial,Residencial
102,4281,4,2025-03-17 15:47:36,2025-03-17 20:04:36,257,114.8750247229624,257.0,2025,3,Basico,Saúde
103,4230,4,2025-03-28 19:08:13,2025-03-28 23:43:13,275,77.23432221940624,275.0,2025,3,Essencial,Saúde
104,3673,4,2025-04-30 06:46:13,2025-04-30 10:49:13,243,48.59591747549246,243.0,2025,4,Premium,Saúde
105,4724,8,2024-03-20 17:44:08,2024-03-20 19:19:08,95,113.79792488666808,95.0,2024,3,Basico,Jurídico
106,2369,3,2023-06-13 19:35:19,2023-06-13 21:11:19,96,100.5471375024006,96.0,2023,6,Basico,Saúde
107,4341,1,2025-11-10 22:49:26,2025-11-11 02:57:26,248,179.74409995520463,248.0,2025,11,Premium,Residencial
108,2243,2,2024-12-14 21:10:48,2024-12-15 00:48:48,218,52.58860836008992,218.0,2024,12,Basico,Automotivo
109,3017,8,2025-11-29 22:21:44,2025-11-30 00:14:44,113,199.54037027758147,113.0,2025,11,Premium,Jurídico
110,4477,8,2024-07-20 04:15:25,2024-07-20 05:42:25,87,110.68823465468208,87.0,2024,7,Premium,Jurídico
111,4415,7,2024-02-09 11:05:51,2024-02-09 13:28:51,143,113.56493270984204,143.0,2024,2,Essencial,Seguro
112,1285,1,2025-01-17 20:04:59,2025-01-17 22:00:59,116,159.00501263478563,116.0,2025,1,Basico,Residencial
113,4225,5,2025-08-18 04:36:45,2025-08-18 09:34:45,298,129.63666783578412,298.0,2025,8,Basico,Benefícios
114,4659,4,2023-11-10 19:36:53,2023-11-10 22:49:53,193,55.28153617542529,193.0,2023,11,Basico,Saúde
115,4423,8,2025-07-07 14:19:34,2025-07-07 16:56:34,157,140.03529056044405,157.0,2025,7,Premium,Jurídico
116,2412,6,2025-12-20 01:04:30,2025-12-20 05:48:30,284,182.7356717699192,284.0,2025,12,Premium,Pet
117,2009,2,2024-01-19 19:47:40,2024-01-19 23:48:40,241,73.95433549702847,241.0,2024,1,Premium,Automotivo
118,2481,3,2024-12-20 21:38:36,2024-12-20 22:15:36,37,108.67530420953422,37.0,2024,12,Essencial,Saúde
119,4909,5,2025-02-11 13:11:21,2025-02-11 13:28:21,17,184.4679130986491,17.0,2025,2,Basico,Benefícios
120,1362,2,2024-10-23 01:03:00,2024-10-23 04:31:00,208,94.587248023392,208.0,2024,10,Premium,Automotivo
121,3982,1,2023-08-28 10:24:27,2023-08-28 10:47:27,23,95.232843774791,23.0,2023,8,Basico,Residencial
122,2340,1,2024-10-18 05:43:02,2024-10-18 09:58:02,255,65.79125422170611,255.0,2024,10,Essencial,Residencial
123,4047,3,2023-10-01 21:16:11,2023-10-01 21:50:11,34,140.56674021755447,34.0,2023,10,Basico,Saúde
124,921,3,2023-05-07 20:19:01,2023-05-07 21:20:01,61,77.66186514399507,61.0,2023,5,Basico,Saúde
125,4034,2,2024-04-18 09:30:23,2024-04-18 09:40:23,10,96.94136547603463,10.0,2024,4,Premium,Automotivo
126,3636,5,2023-05-07 19:52:05,2023-05-07 21:13:05,81,186.76010113239005,81.0,2023,5,Premium,Benefícios
127,4632,3,2024-11-09 00:18:54,2024-11-09 01:42:54,84,192.82411140539048,84.0,2024,11,Essencial,Saúde
128,2145,2,2025-04-09 14:40:00,2025-04-09 17:11:00,151,220.05277469400065,151.0,2025,4,Basico,Automotivo
129,4725,2,2024-04-29 04:07:14,2024-04-29 07:01:14,174,151.90168387185838,174.0,2024,4,Essencial,Automotivo
130,4068,7,2025-05-21 21:56:36,2025-05-22 01:43:36,227,219.3628983987212,227.0,2025,5,Essencial,Seguro
131,4868,2,2025-01-10 07:22:15,2025-01-10 12:16:15,294,164.30788049541775,294.0,2025,1,Basico,Automotivo
132,1105,8,2023-01-01 05:31:27,2023-01-01 09:56:27,265,215.8095755623588,265.0,2023,1,Premium,Jurídico
133,1736,3,2023-12-10 23:30:24,2023-12-11 04:03:24,273,235.3622593395993,273.0,2023,12,Essencial,Saúde
134,3916,2,2025-11-28 22:38:56,2025-11-29 02:30:56,232,96.89371207041992,232.0,2025,11,Premium,Automotivo
135,1054,4,2025-09-28 02:54:14,2025-09-28 03:12:14,18,157.67903127528555,18.0,2025,9,Basico,Saúde
136,3615,8,2025-05-12 19:51:47,2025-05-12 21:39:47,108,82.64806835060264,108.0,2025,5,Essencial,Jurídico
137,1206,2,2025-02-04 22:10:51,2025-02-05 02:22:51,252,192.1492251613601,252.0,2025,2,Essencial,Automotivo
138,242,4,2023-03-04 17:28:11,2023-03-04 18:06:11,38,221.01937736229348,38.0,2023,3,Premium,Saúde
139,3212,3,2023-05-30 00:44:43,2023-05-30 01:50:43,66,175.8909909783443,66.0,2023,5,Premium,Saúde
140,1284,8,2023-03-24 21:10:42,2023-03-24 21:30:42,20,63.249392639706784,20.0,2023,3,Premium,Jurídico
141,3427,1,2023-06-23 22:27:06,2023-06-24 01:16:06,169,74.73665079509847,169.0,2023,6,Essencial,Residencial
142,3388,7,2025-11-16 00:18:46,2025-11-16 04:39:46,261,111.4734610780256,261.0,2025,11,Premium,Seguro
143,3748,5,2024-03-07 23:04:04,2024-03-07 23:44:04,40,150.07576303305723,40.0,2024,3,Basico,Benefícios
144,4732,4,2025-03-23 07:34:30,2025-03-23 08:32:30,58,163.7025020140582,58.0,2025,3,Basico,Saúde
145,317,7,2025-08-07 23:25:22,2025-08-08 00:05:22,40,87.76502595894095,40.0,2025,8,Essencial,Seguro
146,196,1,2024-02-02 13:44:07,2024-02-02 15:54:07,130,242.8631963133723,130.0,2024,2,Essencial,Residencial
147,1865,2,2023-12-02 20:43:30,2023-12-02 23:58:30,195,38.60936931815818,195.0,2023,12,Essencial,Automotivo
148,2680,4,2025-03-04 18:21:09,2025-03-04 22:48:09,267,35.28002822899693,267.0,2025,3,Premium,Saúde
149,4909,7,2023-11-01 11:03:29,2023-11-01 13:51:29,168,176.8077547709579,168.0,2023,11,Basico,Seguro
150,2526,8,2024-01-14 17:43:32,2024-01-14 20:53:32,190,210.58182829985884,190.0,2024,1,Essencial,Jurídico
151,4719,5,2023-04-27 11:31:39,2023-04-27 13:45:39,134,188.1523189205556,134.0,2023,4,Basico,Benefícios
152,1963,2,2023-07-25 09:37:30,2023-07-25 10:54:30,77,124.7242374564306,77.0,2023,7,Premium,Automotivo
153,2190,8,2023-04-04 08:53:40,2023-04-04 11:52:40,179,163.37813281412724,179.0,2023,4,Essencial,Jurídico
154,2070,4,2025-07-12 19:30:26,2025-07-12 23:57:26,267,159.20133725340656,267.0,2025,7,Basico,Saúde
155,2286,6,2025-02-09 00:12:19,2025-02-09 00:53:19,41,185.40984332210084,41.0,2025,2,Premium,Pet
156,533,3,2025-04-13 06:29:52,2025-04-13 10:14:52,225,118.3424224101841,225.0,2025,4,Premium,Saúde
157,4407,8,2025-11-22 23:28:37,2025-11-23 00:32:37,64,186.0709536970317,64.0,2025,11,Premium,Jurídico
158,3493,5,2023-10-02 18:12:52,2023-10-02 22:05:52,233,30.9182056116125,233.0,2023,10,Premium,Benefícios
159,3056,5,2025-07-25 01:18:03,2025-07-25 06:09:03,291,131.41990663916465,291.0,2025,7,Basico,Benefícios
160,3997,8,2023-06-27 18:26:59,2023-06-27 21:48:59,202,194.5288167603009,202.0,2023,6,Basico,Jurídico
161,2684,5,2023-08-20 14:26:37,2023-08-20 16:58:37,152,47.739502804069645,152.0,2023,8,Basico,Benefícios
162,2762,2,2025-05-09 21:44:08,2025-05-09 23:27:08,103,62.288607056509136,103.0,2025,5,Essencial,Automotivo
163,2820,3,2025-07-12 21:29:35,2025-07-12 22:09:35,40,56.94439623971364,40.0,2025,7,Basico,Saúde
164,2170,5,2023-06-02 04:35:53,2023-06-02 06:52:53,137,150.94314053483396,137.0,2023,6,Premium,Benefícios
165,3725,4,2023-03-12 19:35:57,2023-03-12 21:02:57,87,86.81592145816165,87.0,2023,3,Premium,Saúde
166,4783,5,2025-03-26 21:08:46,2025-03-26 23:00:46,112,224.7983345490332,112.0,2025,3,Essencial,Benefícios
167,3490,5,2023-10-07 21:27:21,2023-10-08 01:47:21,260,95.48595690285438,260.0,2023,10,Basico,Benefícios
168,3767,7,2024-09-21 07:14:51,2024-09-21 10:55:51,221,136.6201626486963,221.0,2024,9,Premium,Seguro
169,3600,5,2025-11-04 00:45:54,2025-11-04 03:46:54,181,84.63502833179808,181.0,2025,11,Essencial,Benefícios
170,3437,5,2025-12-02 15:29:06,2025-12-02 18:53:06,204,61.81692473033466,204.0,2025,12,Essencial,Benefícios
171,4145,7,2025-09-11 15:02:50,2025-09-11 18:53:50,231,133.8050633571104,231.0,2025,9,Basico,Seguro
172,3105,3,2025-03-23 08:34:57,2025-03-23 10:03:57,89,34.44368342927432,89.0,2025,3,Premium,Saúde
173,2343,3,2025-10-11 01:28:00,2025-10-11 02:50:00,82,51.14602131946209,82.0,2025,10,Basico,Saúde
174,4336,4,2025-11-17 14:23:22,2025-11-17 19:21:22,298,36.17068296033473,298.0,2025,11,Basico,Saúde
175,4245,1,2025-03-19 14:17:47,2025-03-19 19:00:47,283,60.52236087314941,283.0,2025,3,Essencial,Residencial
176,561,4,2023-12-08 14:48:36,2023-12-08 17:07:36,139,105.41115875690916,139.0,2023,12,Premium,Saúde
177,1485,5,2023-07-28 09:10:14,2023-07-28 12:35:14,205,192.78822570408863,205.0,2023,7,Essencial,Benefícios
178,888,6,2023-03-21 09:51:23,2023-03-21 14:33:23,282,44.02337742357184,282.0,2023,3,Basico,Pet
179,3840,8,2023-12-17 21:25:33,2023-12-17 22:01:33,36,36.06455240888455,36.0,2023,12,Essencial,Jurídico
180,4138,3,2023-10-21 11:40:54,2023-10-21 13:03:54,83,182.60898665447533,83.0,2023,10,Essencial,Saúde
181,3587,5,2024-02-09 01:35:05,2024-02-09 04:46:05,191,244.5996207071333,191.0,2024,2,Essencial,Benefícios
182,2024,5,2025-01-19 04:18:28,2025-01-19 08:26:28,248,107.11309880454034,248.0,2025,1,Premium,Benefícios
183,4625,8,2025-10-18 09:05:54,2025-10-18 13:02:54,237,63.27436524617058,237.0,2025,10,Basico,Jurídico
184,3078,7,2024-09-20 22:16:49,2024-09-21 02:58:49,282,179.06995613611102,282.0,2024,9,Premium,Seguro
185,48,6,2025-01-05 06:20:08,2025-01-05 10:11:08,231,50.05278733982983,231.0,2025,1,Essencial,Pet
186,4332,3,2023-05-22 05:49:13,2023-05-22 09:08:13,199,202.1130568468236,199.0,2023,5,Premium,Saúde
187,4578,3,2024-05-28 20:37:56,2024-05-29 00:58:56,261,94.51713641957606,261.0,2024,5,Essencial,Saúde
188,4574,2,2024-05-10 18:45:19,2024-05-10 21:50:19,185,134.0841361294962,185.0,2024,5,Essencial,Automotivo
189,4505,4,2024-07-09 14:30:00,2024-07-09 19:21:00,291,139.3157855848193,291.0,2024,7,Premium,Saúde
190,2549,5,2025-01-26 19:54:11,2025-01-26 20:54:11,60,107.9069091475923,60.0,2025,1,Basico,Benefícios
191,1128,1,2024-07-31 02:39:04,2024-07-31 06:43:04,244,236.7468618401155,244.0,2024,7,Premium,Residencial
192,2018,2,2023-11-16 11:17:40,2023-11-16 13:49:40,152,69.43308066853305,152.0,2023,11,Essencial,Automotivo
193,2630,7,2024-07-28 11:07:37,2024-07-28 11:18:37,11,98.60689218790156,11.0,2024,7,Basico,Seguro
194,2711,1,2025-02-13 04:10:57,2025-02-13 05:07:57,57,116.2004368658601,57.0,2025,2,Basico,Residencial
195,1693,5,2023-09-15 20:36:03,2023-09-16 01:28:03,292,121.13728578260672,292.0,2023,9,Basico,Benefícios
196,304,7,2025-09-30 00:11:14,2025-09-30 01:29:14,78,217.26510983899723,78.0,2025,9,Premium,Seguro
197,1208,3,2024-01-31 10:50:58,2024-01-31 15:26:58,276,73.69244803105651,276.0,2024,1,Essencial,Saúde
198,1834,5,2025-02-25 04:01:21,2025-02-25 05:44:21,103,87.44242272287745,103.0,2025,2,Essencial,Benefícios
199,46,2,2023-01-23 02:30:06,2023-01-23 03:07:06,37,156.5587035426247,37.0,2023,1,Basico,Automotivo
200,4388,6,2024-10-08 20:14:34,2024-10-09 00:33:34,259,205.31000422447516,259.0,2024,10,Premium,Pet
201,4422,5,2023-04-07 22:26:32,2023-04-07 23:28:32,62,159.29075536175958,62.0,2023,4,Essencial,Benefícios
202,758,4,2023-05-17 15:17:27,2023-05-17 18:30:27,193,155.47007007800454,193.0,2023,5,Premium,Saúde
203,2308,7,2024-04-18 09:42:04,2024-04-18 14:19:04,277,200.3342918293544,277.0,2024,4,Basico,Seguro
204,3806,8,2025-09-15 21:53:22,2025-09-16 01:17:22,204,82.00859040455796,204.0,2025,9,Essencial,Jurídico
205,4133,5,2025-09-30 00:57:47,2025-09-30 05:52:47,295,120.2387400933722,295.0,2025,9,Premium,Benefícios
206,1987,7,2024-09-23 09:05:33,2024-09-23 11:43:33,158,91.72939942844432,158.0,2024,9,Premium,Seguro
207,2482,7,2024-05-03 05:34:50,2024-05-03 08:22:50,168,39.46121673949303,168.0,2024,5,Basico,Seguro
208,2162,2,2025-11-14 20:38:16,2025-11-14 23:43:16,185,88.35674639202676,185.0,2025,11,Premium,Automotivo
209,4370,2,2025-03-16 16:19:36,2025-03-16 19:44:36,205,60.38196832657344,205.0,2025,3,Basico,Automotivo
210,3169,1,2025-01-23 06:10:41,2025-01-23 06:51:41,41,133.90567176057658,41.0,2025,1,Premium,Residencial
211,2698,1,2023-03-02 11:29:27,2023-03-02 11:40:27,11,98.83008153155475,11.0,2023,3,Premium,Residencial
212,3635,1,2024-04-07 02:10:10,2024-04-07 02:54:10,44,83.03184018353612,44.0,2024,4,Basico,Residencial
213,2633,5,2023-11-06 12:21:19,2023-11-06 15:29:19,188,196.88345774384615,188.0,2023,11,Essencial,Benefícios
214,4804,4,2024-02-29 14:53:04,2024-02-29 19:01:04,248,37.96141895467729,248.0,2024,2,Basico,Saúde
215,4162,8,2023-04-11 00:52:50,2023-04-11 01:49:50,57,90.0087964053593,57.0,2023,4,Basico,Jurídico
216,2199,6,2025-12-23 02:58:06,2025-12-23 05:46:06,168,163.20023591171423,168.0,2025,12,Basico,Pet
217,2337,6,2025-08-25 08:23:50,2025-08-25 12:44:50,261,127.58663214541735,261.0,2025,8,Basico,Pet
218,2980,5,2024-08-18 02:49:12,2024-08-18 07:26:12,277,199.38633009791457,277.0,2024,8,Premium,Benefícios
219,3654,4,2025-09-19 23:16:03,2025-09-20 00:53:03,97,72.91258837630065,97.0,2025,9,Premium,Saúde
220,2397,4,2025-12-25 00:08:59,2025-12-25 01:51:59,103,98.59062324306524,103.0,2025,12,Premium,Saúde
221,363,5,2024-05-05 01:27:49,2024-05-05 06:25:49,298,112.87950799015984,298.0,2024,5,Essencial,Benefícios
222,1152,8,2025-11-13 12:59:52,2025-11-13 17:10:52,251,157.8902115444027,251.0,2025,11,Premium,Jurídico
223,4099,7,2024-02-08 05:42:57,2024-02-08 09:19:57,217,85.77948466043425,217.0,2024,2,Premium,Seguro
224,2000,2,2024-11-04 01:30:55,2024-11-04 03:00:55,90,187.12238051368,90.0,2024,11,Basico,Automotivo
225,307,7,2023-12-26 01:31:46,2023-12-26 05:46:46,255,80.39785444985435,255.0,2023,12,Premium,Seguro
